,Time,TPR,FDR,SHD,Layer
0,8.96,37.86,44.74,439.0,62.0
1,7.62,39.8,42.74,443.0,64.0
2,3.88,41.39,43.83,461.0,55.0
3,9.62,39.77,44.44,474.0,64.0
4,7.93,45.24,33.24,394.0,54.0
5,10.57,46.73,35.03,401.0,65.0
6,4.47,49.01,31.49,365.0,58.0
7,5.34,43.06,38.51,410.0,55.0
8,4.65,45.13,30.57,357.0,58.0
9,4.43,38.05,39.7,449.0,59.0
10,4.44,44.69,34.43,381.0,58.0
11,4.84,47.07,37.12,422.0,59.0
12,4.93,43.06,40.55,425.0,64.0
13,4.56,40.59,41.8,473.0,62.0
14,4.1,47.46,34.45,377.0,55.0
15,5.28,46.19,35.63,377.0,61.0
16,4.36,52.26,33.61,339.0,59.0
17,4.73,44.49,32.74,382.0,63.0
18,3.98,47.65,31.87,359.0,54.0
19,4.73,47.29,32.22,384.0,62.0
20,4.23,44.12,37.13,380.0,57.0
21,6.05,38.71,45.45,513.0,69.0
22,4.97,39.01,45.16,478.0,64.0
23,4.24,44.55,35.28,407.0,59.0
24,5.31,39.36,37.8,443.0,63.0
25,3.9,49.5,31.39,361.0,55.0
26,4.74,42.2,42.82,432.0,58.0
27,4.98,36.73,48.1,496.0,66.0
28,4.9,43.96,42.82,414.0,63.0
29,4.56,51.3,30.25,348.0,61.0
30,4.72,42.17,38.76,425.0,62.0
31,4.02,43.65,40.67,413.0,54.0
32,3.85,44.56,40.87,413.0,50.0
33,3.84,41.85,36.04,412.0,55.0
34,4.32,50.71,31.42,350.0,55.0
35,4.56,48.39,35.56,384.0,62.0
36,4.03,44.95,35.51,398.0,53.0
37,4.08,46.78,34.43,394.0,56.0
38,4.12,41.68,37.54,410.0,57.0
39,4.71,39.21,39.23,410.0,60.0
40,4.42,42.24,34.85,404.0,60.0
41,4.78,42.51,40.34,419.0,65.0
42,3.85,44.26,39.15,404.0,53.0
43,3.98,49.25,28.44,323.0,57.0
44,4.23,51.01,26.53,330.0,57.0
45,4.03,42.12,37.07,418.0,54.0
46,5.03,49.26,31.07,336.0,63.0
47,4.51,48.73,32.06,345.0,56.0
48,5.35,40.19,44.35,461.0,65.0
49,4.5,45.07,35.24,376.0,61.0
50,4.55,47.18,28.66,353.0,63.0
51,4.38,47.36,30.22,337.0,58.0
52,3.93,43.8,34.43,391.0,59.0
53,4.22,49.58,29.59,339.0,55.0
54,5.33,39.05,43.98,486.0,69.0
55,4.67,42.01,40.17,427.0,64.0
56,4.96,38.25,42.25,474.0,63.0
57,3.21,54.89,28.93,310.0,48.0
58,4.38,48.47,31.81,361.0,58.0
59,4.85,45.68,36.39,384.0,64.0
60,4.04,41.93,42.35,464.0,54.0
61,4.2,40.98,40.48,417.0,56.0
62,4.76,46.75,35.21,380.0,60.0
63,4.26,40.0,39.43,449.0,55.0
64,4.52,42.97,43.09,437.0,61.0
65,4.7,44.01,38.08,395.0,62.0
66,4.24,46.91,31.33,357.0,58.0
67,4.87,42.91,37.4,450.0,66.0
68,4.62,44.49,35.24,402.0,61.0
69,4.78,44.7,38.75,393.0,62.0
70,4.12,47.78,32.13,346.0,57.0
71,4.12,38.68,42.04,438.0,53.0
72,5.27,40.44,39.84,470.0,67.0
73,3.97,46.5,32.97,398.0,53.0
74,4.35,42.28,41.41,423.0,59.0
75,4.07,42.09,36.34,393.0,58.0
76,4.07,49.19,34.59,373.0,53.0
77,4.48,53.02,29.49,340.0,59.0
78,4.92,32.16,51.81,539.0,64.0
79,4.52,41.28,41.0,446.0,60.0
80,4.69,49.9,31.46,356.0,58.0
81,4.68,34.64,41.46,469.0,61.0
82,4.16,41.63,38.37,401.0,59.0
83,4.03,44.54,35.71,382.0,55.0
84,4.01,49.5,31.86,359.0,56.0
85,4.39,45.76,34.85,415.0,59.0
86,4.07,47.25,29.48,353.0,56.0
87,4.56,43.43,40.23,395.0,62.0
88,4.25,42.56,40.05,445.0,55.0
89,4.8,42.52,36.52,413.0,63.0
90,4.93,41.62,37.57,424.0,63.0
91,4.57,40.97,43.13,458.0,60.0
92,4.95,41.03,43.27,464.0,62.0
93,4.56,39.8,36.86,405.0,61.0
94,5.06,48.81,24.46,335.0,65.0
95,4.46,42.83,36.36,420.0,56.0
96,5.41,27.86,54.93,564.0,66.0
97,4.47,36.36,44.35,484.0,61.0
98,4.96,41.14,43.8,419.0,63.0
99,4.11,40.73,42.78,436.0,54.0
