,Time,TPR,FDR,SHD,Layer
0,4.03,37.86,45.4,442.0,38.0
1,1.81,33.07,50.45,492.0,33.0
2,2.18,40.81,43.73,465.0,37.0
3,4.18,38.83,47.03,492.0,37.0
4,3.17,42.72,36.05,417.0,27.0
5,2.03,46.54,37.14,413.0,36.0
6,2.2,47.83,33.52,380.0,37.0
7,1.95,42.45,39.71,420.0,34.0
8,1.56,44.72,30.1,357.0,28.0
9,1.92,37.28,41.27,460.0,32.0
10,1.96,42.24,38.76,407.0,32.0
11,1.8,46.12,36.95,425.0,31.0
12,2.23,43.65,38.89,414.0,35.0
13,2.47,40.59,42.41,476.0,39.0
14,1.71,46.04,37.29,397.0,28.0
15,2.26,41.65,40.76,415.0,35.0
16,1.92,50.97,33.98,345.0,34.0
17,1.89,40.55,38.14,418.0,35.0
18,1.55,44.17,31.65,367.0,29.0
19,2.13,45.16,34.92,403.0,34.0
20,2.08,44.12,34.98,368.0,34.0
21,2.73,40.86,43.14,499.0,43.0
22,2.43,40.73,43.65,466.0,36.0
23,2.27,41.68,39.44,439.0,37.0
24,1.78,38.98,38.02,446.0,32.0
25,1.79,49.9,32.34,364.0,32.0
26,1.78,44.6,38.57,409.0,30.0
27,2.36,38.85,44.35,470.0,40.0
28,1.85,42.08,43.73,425.0,32.0
29,1.72,46.89,33.33,374.0,30.0
30,1.78,42.36,40.0,435.0,34.0
31,1.9,44.67,39.11,406.0,31.0
32,1.71,45.38,39.95,410.0,29.0
33,1.86,40.08,37.99,425.0,35.0
34,1.91,45.66,35.8,387.0,32.0
35,1.92,45.58,40.58,419.0,35.0
36,1.78,45.15,36.13,402.0,28.0
37,1.48,46.39,34.44,397.0,26.0
38,2.15,37.47,42.99,445.0,35.0
39,1.65,37.55,40.07,418.0,32.0
40,1.72,43.03,35.78,409.0,32.0
41,2.59,38.66,45.11,455.0,40.0
42,1.81,41.6,44.08,438.0,31.0
43,1.56,51.83,26.75,309.0,30.0
44,1.95,49.19,30.17,352.0,34.0
45,1.98,40.19,40.29,443.0,31.0
46,1.62,47.36,34.69,362.0,33.0
47,1.73,49.58,31.09,340.0,27.0
48,2.12,39.81,43.06,455.0,35.0
49,2.05,45.49,37.64,389.0,34.0
50,1.9,43.15,33.95,386.0,33.0
51,1.74,51.37,25.91,314.0,30.0
52,1.86,44.6,32.22,380.0,34.0
53,1.42,45.83,33.53,367.0,27.0
54,2.74,40.51,41.88,474.0,44.0
55,2.22,40.04,42.33,444.0,37.0
56,2.15,36.38,46.58,501.0,38.0
57,1.61,51.49,32.78,341.0,30.0
58,1.84,45.62,35.45,385.0,32.0
59,1.99,43.0,39.24,407.0,34.0
60,1.76,42.67,38.99,450.0,31.0
61,1.99,43.24,37.94,401.0,34.0
62,1.96,43.29,38.62,407.0,35.0
63,2.14,36.04,43.99,482.0,36.0
64,2.38,43.98,40.33,416.0,39.0
65,2.04,44.21,39.89,405.0,34.0
66,2.0,46.09,31.29,359.0,35.0
67,2.18,42.55,35.71,443.0,36.0
68,2.35,41.93,40.83,438.0,39.0
69,1.97,40.12,45.48,442.0,33.0
70,2.17,42.92,35.96,374.0,34.0
71,1.61,40.48,42.45,440.0,29.0
72,2.22,38.62,44.36,500.0,36.0
73,2.09,43.1,37.53,433.0,34.0
74,1.84,40.45,43.63,443.0,36.0
75,1.88,44.15,35.05,384.0,31.0
76,1.91,43.9,41.78,423.0,32.0
77,1.79,50.2,33.24,368.0,34.0
78,2.61,31.6,53.04,550.0,42.0
79,2.04,40.7,44.59,465.0,32.0
80,1.97,42.33,40.35,416.0,33.0
81,2.22,33.15,41.58,475.0,35.0
82,1.91,42.86,40.0,411.0,34.0
83,2.15,45.36,33.33,372.0,36.0
84,1.87,47.28,32.47,368.0,33.0
85,1.92,42.18,40.58,455.0,35.0
86,1.73,44.81,32.52,373.0,31.0
87,1.95,41.95,40.72,402.0,36.0
88,1.88,42.56,39.4,442.0,33.0
89,2.13,42.91,37.22,416.0,37.0
90,2.04,43.35,36.26,414.0,35.0
91,1.94,39.22,42.94,459.0,33.0
92,2.31,38.55,44.04,469.0,39.0
93,1.85,37.98,40.32,425.0,34.0
94,2.07,44.47,27.42,362.0,34.0
95,1.88,40.54,40.45,450.0,31.0
96,2.39,29.52,53.08,558.0,39.0
97,2.58,32.95,49.27,516.0,40.0
98,2.22,41.77,41.59,409.0,37.0
99,1.54,37.3,47.14,467.0,29.0
