,Time,TPR,FDR,SHD,Layer
0,6.96,37.86,44.91,440.0,69.0
1,11.98,39.41,43.47,448.0,75.0
2,5.89,41.78,43.6,459.0,71.0
3,6.65,41.1,43.04,464.0,73.0
4,10.82,45.44,32.17,389.0,68.0
5,12.64,47.88,33.42,391.0,76.0
6,6.4,48.81,30.62,362.0,74.0
7,6.56,44.47,36.86,398.0,77.0
8,6.18,45.96,29.52,350.0,71.0
9,6.26,37.48,41.49,456.0,73.0
10,5.36,42.24,40.52,414.0,67.0
11,6.43,43.29,40.36,449.0,76.0
12,7.99,42.46,42.16,434.0,80.0
13,6.76,43.17,37.93,447.0,80.0
14,5.41,47.06,34.83,380.0,69.0
15,7.38,43.71,37.09,390.0,78.0
16,6.25,51.83,34.15,343.0,70.0
17,6.52,44.88,32.54,380.0,77.0
18,6.2,47.24,33.04,365.0,70.0
19,6.37,47.29,32.41,383.0,77.0
20,5.67,45.59,35.8,370.0,73.0
21,8.29,39.25,45.25,510.0,81.0
22,6.44,41.68,42.63,459.0,76.0
23,5.83,44.93,35.79,411.0,73.0
24,5.88,39.36,37.61,442.0,71.0
25,6.09,51.7,29.7,345.0,74.0
26,6.47,43.4,40.38,419.0,74.0
27,6.73,39.81,44.35,470.0,81.0
28,6.35,43.54,42.58,414.0,76.0
29,5.98,51.7,29.32,342.0,74.0
30,5.7,43.13,37.01,416.0,72.0
31,5.74,43.85,40.22,412.0,70.0
32,5.04,41.68,41.67,421.0,67.0
33,6.01,43.22,34.13,398.0,73.0
34,5.68,52.73,28.88,333.0,69.0
35,5.89,48.59,35.64,384.0,73.0
36,6.19,46.34,33.9,387.0,73.0
37,5.55,46.0,35.34,401.0,70.0
38,5.39,41.48,37.65,411.0,68.0
39,7.31,39.42,39.49,411.0,80.0
40,6.08,45.19,31.75,383.0,75.0
41,5.92,42.91,39.6,413.0,73.0
42,5.77,44.88,38.83,400.0,71.0
43,5.14,48.6,28.25,324.0,65.0
44,5.69,50.81,28.08,337.0,73.0
45,5.73,43.65,35.69,408.0,67.0
46,6.05,48.41,33.24,348.0,74.0
47,5.51,49.16,32.07,344.0,67.0
48,6.17,39.81,43.68,457.0,76.0
49,6.21,44.44,34.97,375.0,76.0
50,5.76,47.18,28.88,353.0,70.0
51,6.31,46.93,31.27,342.0,76.0
52,6.05,44.0,34.13,389.0,74.0
53,5.94,49.38,30.29,344.0,71.0
54,6.55,38.32,45.45,496.0,80.0
55,6.66,43.0,39.28,419.0,80.0
56,6.42,37.69,44.51,486.0,75.0
57,4.5,56.17,26.26,293.0,62.0
58,5.7,44.6,37.07,394.0,70.0
59,5.92,45.47,35.38,380.0,72.0
60,4.94,42.67,40.1,448.0,64.0
61,6.05,43.03,38.05,402.0,73.0
62,6.71,47.56,34.27,374.0,77.0
63,6.17,39.43,39.77,451.0,73.0
64,6.19,43.78,40.92,422.0,75.0
65,5.92,43.18,39.42,403.0,72.0
66,5.56,46.09,33.53,368.0,72.0
67,6.66,42.18,38.46,457.0,73.0
68,6.12,45.67,35.73,400.0,73.0
69,6.25,45.95,37.57,383.0,75.0
70,5.73,48.63,28.35,328.0,72.0
71,5.42,41.88,40.46,422.0,65.0
72,6.54,41.17,39.25,466.0,79.0
73,6.35,46.88,32.24,391.0,75.0
74,6.01,43.5,39.72,412.0,73.0
75,5.96,41.89,37.04,395.0,74.0
76,6.52,47.97,35.87,382.0,74.0
77,6.47,51.61,30.43,349.0,78.0
78,6.39,33.83,49.16,521.0,76.0
79,5.94,41.28,41.16,448.0,72.0
80,6.03,47.03,34.66,378.0,75.0
81,5.98,34.27,41.9,474.0,72.0
82,5.72,42.65,37.98,395.0,72.0
83,5.9,45.57,33.83,372.0,70.0
84,6.55,49.9,30.53,350.0,77.0
85,5.59,45.76,35.71,420.0,70.0
86,5.44,46.84,29.45,355.0,67.0
87,5.34,43.43,40.75,397.0,69.0
88,5.94,43.13,39.73,440.0,70.0
89,5.94,41.94,37.03,416.0,74.0
90,6.2,42.97,35.55,410.0,75.0
91,6.28,41.75,42.82,453.0,74.0
92,6.11,41.41,43.64,463.0,75.0
93,5.51,40.0,36.54,402.0,69.0
94,6.53,49.41,24.01,331.0,77.0
95,6.33,42.26,37.92,428.0,73.0
96,6.48,29.52,52.52,548.0,75.0
97,5.82,36.74,43.93,481.0,73.0
98,6.34,42.62,41.11,405.0,76.0
99,5.34,40.73,42.61,434.0,67.0
