,Time,TPR,FDR,SHD,Layer
0,11.77,38.27,44.14,435.0,79.0
1,13.25,40.59,41.93,436.0,84.0
2,6.38,42.36,42.52,449.0,78.0
3,7.8,40.34,43.65,468.0,87.0
4,14.39,45.05,32.75,393.0,82.0
5,14.61,47.12,34.32,397.0,85.0
6,7.4,49.8,29.61,354.0,84.0
7,7.24,43.46,38.11,404.0,85.0
8,7.17,45.96,29.52,350.0,78.0
9,7.0,38.24,41.0,453.0,81.0
10,7.38,44.29,34.83,383.0,83.0
11,8.0,43.67,39.53,443.0,86.0
12,7.67,42.46,42.16,434.0,84.0
13,7.47,39.48,43.09,482.0,87.0
14,6.57,47.87,34.26,375.0,77.0
15,7.78,43.71,37.09,390.0,81.0
16,8.56,48.6,38.08,366.0,89.0
17,7.8,44.88,32.54,380.0,87.0
18,6.81,46.83,32.45,362.0,78.0
19,7.48,46.32,34.52,397.0,85.0
20,7.62,45.8,34.53,363.0,85.0
21,8.34,39.43,45.0,508.0,87.0
22,7.36,41.3,43.31,463.0,84.0
23,6.87,44.55,35.99,412.0,82.0
24,7.22,38.98,37.46,442.0,80.0
25,7.55,51.1,30.52,351.0,85.0
26,7.56,42.6,42.12,430.0,85.0
27,7.98,38.85,45.7,478.0,88.0
28,7.43,43.54,42.58,413.0,85.0
29,7.01,50.3,30.47,352.0,82.0
30,6.63,42.94,38.33,422.0,78.0
31,7.1,44.88,38.48,400.0,82.0
32,7.3,43.12,41.5,418.0,84.0
33,7.58,43.03,34.63,400.0,86.0
34,6.78,50.91,30.39,346.0,81.0
35,7.31,49.0,34.76,379.0,82.0
36,7.28,44.95,34.77,395.0,83.0
37,6.53,46.2,35.6,402.0,78.0
38,6.12,41.48,37.65,411.0,75.0
39,7.55,39.42,39.68,412.0,86.0
40,7.46,45.58,30.75,378.0,86.0
41,6.98,41.9,41.53,424.0,83.0
42,6.41,43.44,41.44,415.0,77.0
43,6.95,49.46,27.22,317.0,80.0
44,7.09,51.01,28.0,335.0,83.0
45,7.02,43.08,37.08,415.0,80.0
46,7.04,47.99,33.43,350.0,80.0
47,6.86,48.1,34.67,355.0,79.0
48,7.79,39.81,42.9,452.0,87.0
49,7.87,44.03,35.78,379.0,86.0
50,6.92,47.78,27.52,345.0,84.0
51,6.92,47.15,30.53,338.0,82.0
52,6.62,42.8,35.93,401.0,80.0
53,7.13,48.75,31.38,348.0,83.0
54,7.06,38.87,44.68,490.0,83.0
55,7.62,43.2,38.83,416.0,88.0
56,7.33,38.25,42.9,477.0,85.0
57,6.35,56.17,25.63,289.0,74.0
58,7.35,47.05,34.38,377.0,83.0
59,6.97,45.68,35.47,380.0,80.0
60,6.54,42.86,40.31,449.0,79.0
61,7.7,43.24,38.12,403.0,85.0
62,7.64,47.15,35.38,379.0,87.0
63,7.9,40.57,38.22,441.0,85.0
64,7.85,43.57,41.67,425.0,87.0
65,6.93,42.98,40.06,406.0,82.0
66,7.15,45.68,34.12,371.0,84.0
67,7.54,41.45,38.87,459.0,87.0
68,7.13,47.83,35.54,394.0,83.0
69,7.59,45.95,37.39,383.0,85.0
70,7.11,47.78,29.15,333.0,81.0
71,6.58,42.28,39.37,414.0,77.0
72,7.62,41.53,39.68,466.0,85.0
73,7.5,47.26,32.98,392.0,85.0
74,7.31,42.89,40.23,414.0,84.0
75,7.21,42.3,35.62,388.0,83.0
76,7.64,46.54,38.27,397.0,86.0
77,7.08,52.22,29.62,342.0,81.0
78,8.3,30.86,52.16,538.0,89.0
79,6.73,42.05,40.71,443.0,80.0
80,7.26,47.03,34.84,379.0,85.0
81,6.98,35.39,40.75,464.0,82.0
82,6.85,40.82,40.12,409.0,82.0
83,7.63,45.57,34.23,372.0,84.0
84,7.48,49.7,31.01,353.0,86.0
85,7.23,46.52,35.34,416.0,84.0
86,6.63,47.05,30.42,357.0,79.0
87,6.74,42.37,40.65,398.0,79.0
88,7.17,43.32,39.47,438.0,80.0
89,7.42,42.72,36.42,411.0,86.0
90,7.27,42.97,36.1,412.0,83.0
91,7.84,41.75,43.12,456.0,87.0
92,7.04,41.6,43.52,462.0,83.0
93,7.3,40.2,36.42,400.0,83.0
94,7.02,49.21,24.09,332.0,84.0
95,7.56,42.45,37.46,426.0,83.0
96,8.33,29.52,52.52,548.0,86.0
97,6.86,36.74,43.93,481.0,81.0
98,7.39,42.19,41.52,408.0,85.0
99,7.23,41.13,42.21,431.0,82.0
