,Time,TPR,FDR,SHD
0,3.53,38.07,44.11,435.0
1,6.78,39.6,43.18,442.0
2,3.59,42.75,41.69,445.0
3,3.59,42.23,42.67,458.0
4,8.3,45.05,33.52,396.0
5,8.77,47.31,34.57,398.0
6,3.47,49.41,30.36,359.0
7,3.68,43.46,38.46,406.0
8,4.59,45.96,29.75,351.0
9,3.71,37.48,42.69,460.0
10,3.93,44.49,34.53,381.0
11,3.58,46.31,37.02,423.0
12,3.78,40.28,44.08,449.0
13,3.61,40.04,43.19,482.0
14,3.83,48.07,33.98,374.0
15,3.61,43.09,38.17,394.0
16,3.7,48.82,37.81,364.0
17,3.8,44.09,32.93,384.0
18,3.59,47.65,31.07,353.0
19,3.84,46.51,34.43,394.0
20,3.61,45.8,35.12,366.0
21,4.05,39.43,45.14,509.0
22,3.67,41.11,43.57,463.0
23,3.7,44.93,35.44,406.0
24,3.76,38.42,37.99,446.0
25,3.72,51.7,30.27,348.0
26,3.8,44.0,39.23,410.0
27,3.8,41.35,45.15,470.0
28,3.59,44.58,41.53,407.0
29,3.6,49.9,30.83,353.0
30,3.68,43.71,38.42,420.0
31,3.52,44.06,39.61,406.0
32,3.75,43.12,40.0,408.0
33,3.61,41.65,36.34,411.0
34,3.61,47.88,33.98,371.0
35,3.63,47.99,35.41,385.0
36,3.5,45.35,34.57,393.0
37,3.99,49.12,32.08,375.0
38,3.49,41.48,37.65,411.0
39,3.69,39.83,38.26,405.0
40,3.57,45.58,30.75,378.0
41,3.57,42.11,41.24,422.0
42,3.75,45.7,37.88,393.0
43,3.56,49.89,26.58,313.0
44,3.67,51.62,26.3,326.0
45,3.62,42.88,37.88,421.0
46,3.7,48.41,33.24,348.0
47,3.58,48.52,34.1,352.0
48,3.77,38.06,43.84,460.0
49,3.57,44.03,35.98,380.0
50,3.62,46.37,29.66,356.0
51,3.81,47.36,30.22,336.0
52,3.46,43.2,35.71,399.0
53,3.8,48.75,31.18,344.0
54,3.51,39.78,43.23,480.0
55,3.45,43.2,39.0,417.0
56,3.72,37.87,42.49,474.0
57,3.58,57.45,24.37,281.0
58,3.66,47.45,33.81,372.0
59,3.59,45.88,35.92,381.0
60,3.48,43.04,39.9,446.0
61,3.6,43.44,38.01,402.0
62,3.64,47.15,35.38,379.0
63,3.82,40.94,37.64,437.0
64,3.62,45.38,37.57,398.0
65,3.5,42.98,39.88,405.0
66,3.78,45.68,34.12,371.0
67,3.55,42.36,36.86,444.0
68,3.58,47.44,35.22,393.0
69,3.78,44.7,39.44,396.0
70,3.61,47.57,29.69,335.0
71,3.59,42.28,39.19,413.0
72,3.73,40.44,41.58,480.0
73,3.59,47.45,33.07,392.0
74,3.74,42.68,40.17,414.0
75,3.62,41.48,37.27,398.0
76,3.64,47.36,37.2,390.0
77,3.74,51.81,30.54,348.0
78,3.61,31.04,52.01,538.0
79,3.51,41.09,41.92,451.0
80,3.73,47.24,35.11,380.0
81,3.58,35.96,40.19,460.0
82,3.52,40.41,41.07,415.0
83,3.56,45.57,34.23,372.0
84,3.54,50.7,29.61,344.0
85,3.95,45.76,35.88,420.0
86,3.83,47.05,30.84,359.0
87,3.79,43.22,40.18,394.0
88,3.42,45.42,35.5,412.0
89,3.61,43.11,35.28,405.0
90,3.58,43.35,35.16,406.0
91,3.56,41.94,42.55,452.0
92,3.59,41.03,42.82,457.0
93,3.65,39.19,38.22,410.0
94,3.56,49.8,23.64,328.0
95,3.97,42.45,37.99,429.0
96,3.87,29.7,52.51,548.0
97,3.51,37.69,43.47,476.0
98,3.85,42.62,41.11,404.0
99,3.68,41.94,41.41,425.0
