,Time,TPR,FDR,SHD,Layer
0,8.22,37.65,44.71,439.0,65.0
1,9.97,40.59,41.6,434.0,66.0
2,5.33,41.78,42.25,452.0,66.0
3,10.27,40.15,44.06,471.0,68.0
4,8.65,45.83,31.99,387.0,59.0
5,10.64,47.88,33.42,391.0,67.0
6,4.96,49.01,31.68,366.0,64.0
7,5.38,42.86,39.32,413.0,64.0
8,5.23,45.34,30.48,356.0,62.0
9,5.0,36.71,41.64,460.0,66.0
10,5.31,42.45,37.16,399.0,64.0
11,5.8,44.23,39.22,440.0,70.0
12,5.65,43.45,40.49,423.0,70.0
13,6.04,43.17,37.93,447.0,75.0
14,4.4,47.06,34.83,380.0,59.0
15,5.58,46.39,34.97,375.0,65.0
16,5.7,48.82,37.64,365.0,67.0
17,5.72,44.29,32.84,383.0,70.0
18,4.84,47.44,30.95,355.0,60.0
19,5.45,47.67,32.23,383.0,68.0
20,5.1,45.8,36.07,372.0,67.0
21,7.6,39.07,45.36,512.0,76.0
22,5.55,38.81,45.28,479.0,70.0
23,5.2,44.93,35.26,405.0,67.0
24,5.4,39.36,37.61,442.0,66.0
25,5.17,50.7,30.3,351.0,67.0
26,5.64,44.0,39.73,412.0,67.0
27,5.72,38.65,45.82,481.0,73.0
28,4.58,44.17,42.39,413.0,62.0
29,5.48,49.1,32.32,365.0,69.0
30,5.45,42.75,38.61,425.0,70.0
31,4.79,44.06,39.78,409.0,62.0
32,4.48,45.79,40.21,407.0,56.0
33,5.0,43.03,34.04,399.0,64.0
34,5.27,50.1,31.3,351.0,63.0
35,5.13,48.59,35.64,384.0,67.0
36,5.12,45.15,36.67,403.0,65.0
37,4.93,46.2,35.42,401.0,63.0
38,4.65,43.29,35.33,394.0,61.0
39,5.51,39.42,39.3,410.0,66.0
40,5.12,43.03,34.04,398.0,66.0
41,5.49,42.51,40.51,419.0,70.0
42,4.66,45.49,38.5,396.0,59.0
43,4.62,48.39,28.34,325.0,62.0
44,4.45,50.81,26.82,330.0,61.0
45,4.85,43.27,36.26,412.0,60.0
46,5.07,49.47,30.97,335.0,66.0
47,4.9,48.95,31.96,344.0,59.0
48,5.94,40.19,42.66,451.0,72.0
49,4.89,44.44,34.37,373.0,65.0
50,5.01,47.58,29.34,354.0,66.0
51,5.71,46.51,31.89,346.0,70.0
52,4.49,44.2,33.63,387.0,63.0
53,4.98,48.96,30.06,342.0,62.0
54,5.5,38.69,44.5,489.0,71.0
55,4.77,42.21,39.89,425.0,65.0
56,5.46,36.94,45.15,490.0,67.0
57,3.83,57.02,25.35,289.0,54.0
58,5.3,46.44,33.72,374.0,66.0
59,4.79,45.88,35.55,380.0,63.0
60,4.69,42.86,40.31,449.0,61.0
61,4.72,42.62,38.82,406.0,62.0
62,5.17,46.95,34.75,379.0,64.0
63,5.02,39.06,40.35,456.0,62.0
64,5.88,43.57,41.67,427.0,73.0
65,4.75,43.18,39.24,402.0,63.0
66,4.72,47.12,30.82,353.0,64.0
67,5.43,43.09,36.63,444.0,69.0
68,5.17,44.69,35.51,402.0,66.0
69,5.34,45.74,37.85,387.0,66.0
70,5.12,48.2,30.06,335.0,66.0
71,4.76,42.28,40.06,419.0,60.0
72,5.51,40.07,40.54,475.0,70.0
73,4.62,45.94,32.87,397.0,59.0
74,5.33,42.89,39.89,414.0,66.0
75,4.95,42.51,35.91,389.0,66.0
76,5.46,47.56,36.24,384.0,67.0
77,5.54,51.81,30.73,349.0,70.0
78,5.74,30.67,52.59,542.0,71.0
79,4.87,42.25,40.76,442.0,62.0
80,5.66,47.03,34.47,377.0,70.0
81,5.01,34.64,41.27,469.0,65.0
82,4.7,41.43,38.48,402.0,63.0
83,4.69,45.77,33.13,366.0,61.0
84,4.79,49.3,31.18,356.0,63.0
85,5.26,46.14,35.01,415.0,65.0
86,4.45,46.84,29.66,356.0,59.0
87,4.91,43.01,40.99,401.0,65.0
88,4.98,43.51,39.84,441.0,62.0
89,4.93,43.3,35.17,404.0,64.0
90,5.01,41.43,37.68,424.0,65.0
91,5.96,41.36,43.35,459.0,71.0
92,5.16,41.6,43.08,462.0,66.0
93,4.56,39.8,36.66,404.0,62.0
94,5.16,48.81,24.0,333.0,68.0
95,5.13,43.4,36.24,418.0,61.0
96,5.68,28.04,54.9,565.0,67.0
97,4.88,36.55,44.06,481.0,65.0
98,5.63,42.41,42.24,412.0,69.0
99,4.35,40.32,43.82,442.0,60.0
