"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"1","abessdag","ER2","300","100","72.40(1.41)","96.2(0.8)","5.8(1.2)","55.0(11.0)"
"2","EqVar","ER2","300","100","5637.55(1041.11)","54.1(2.1)","68.1(1.7)","809.1(51.4)"
"3","CLIME","ER2","300","100","778.78(365.98)","40.0(1.9)","78.8(1.3)","990.8(71.6)"
"4","PC","ER2","300","100","16.09(2.66)","40.5(1.7)","58.6(2.2)","522.6(19.2)"
"5","GES","ER2","300","100","2164.59(1077.30)","89.8(2.5)","90.1(0.8)","4944.2(463.8)"
"6","MMHC","ER2","300","100","3.53(0.18)","47.8(3.3)","29.8(3.4)","355.0(25.1)"
"7","EqVar","ER2","300","100","5637.55(1041.11)","54.1(2.1)","68.1(1.7)","809.1(51.4)"
"8","CLIME","ER2","300","100","778.78(365.98)","40.0(1.9)","78.8(1.3)","990.8(71.6)"
"9","PC","ER2","300","100","16.09(2.66)","40.5(1.7)","58.6(2.2)","522.6(19.2)"
"10","GES","ER2","300","100","2164.59(1077.30)","89.8(2.5)","90.1(0.8)","4944.2(463.8)"
"11","MMHC","ER2","300","100","3.53(0.18)","47.8(3.3)","29.8(3.4)","355.0(25.1)"
"12","EqVar","ER2","300","100","5637.55(1041.11)","54.1(2.1)","68.1(1.7)","809.1(51.4)"
"13","CLIME","ER2","300","100","778.78(365.98)","40.0(1.9)","78.8(1.3)","990.8(71.6)"
"14","PC","ER2","300","100","16.09(2.66)","40.5(1.7)","58.6(2.2)","522.6(19.2)"
"15","GES","ER2","300","100","2164.59(1077.30)","89.8(2.5)","90.1(0.8)","4944.2(463.8)"
"16","MMHC","ER2","300","100","3.53(0.18)","47.8(3.3)","29.8(3.4)","355.0(25.1)"
"17","EqVar","ER2","300","100","5637.55(1041.11)","54.1(2.1)","68.1(1.7)","809.1(51.4)"
"18","CLIME","ER2","300","100","778.78(365.98)","40.0(1.9)","78.8(1.3)","990.8(71.6)"
"19","PC","ER2","300","100","16.09(2.66)","40.5(1.7)","58.6(2.2)","522.6(19.2)"
"20","GES","ER2","300","100","2164.59(1077.30)","89.8(2.5)","90.1(0.8)","4944.2(463.8)"
"21","MMHC","ER2","300","100","3.53(0.18)","47.8(3.3)","29.8(3.4)","355.0(25.1)"
"22","EqVar","ER2","300","100","5637.55(1041.11)","54.1(2.1)","68.1(1.7)","809.1(51.4)"
"23","CLIME","ER2","300","100","778.78(365.98)","40.0(1.9)","78.8(1.3)","990.8(71.6)"
"24","PC","ER2","300","100","16.09(2.66)","40.5(1.7)","58.6(2.2)","522.6(19.2)"
"25","GES","ER2","300","100","2164.59(1077.30)","89.8(2.5)","90.1(0.8)","4944.2(463.8)"
"26","MMHC","ER2","300","100","3.53(0.18)","47.8(3.3)","29.8(3.4)","355.0(25.1)"
"27","abessdag","ER2","300","300","378.27(51.03)","99.9(0.2)","1.4(0.9)","8.8(6.0)"
"28","EqVar","ER2","300","300","19523.60(24588.17)","92.3(21.7)","40.9(9.9)","424.6(109.3)"
"29","CLIME","ER2","300","300","8789.63(9597.10)","82.8(19.6)","54.7(13.0)","689.5(171.2)"
"30","PC","ER2","300","300","7.61(11.08)","49.8(12.1)","35.8(9.1)","286.8(71.3)"
"31","GES","ER2","300","300","101.66(172.14)","89.3(21.1)","57.9(13.7)","844.9(205.3)"
"32","MMHC","ER2","300","300","4.82(1.64)","70.2(16.8)","16.9(4.7)","183.0(47.4)"
"33","EqVar","ER2","300","300","19523.60(24588.17)","92.3(21.7)","40.9(9.9)","424.6(109.3)"
"34","CLIME","ER2","300","300","8789.63(9597.10)","82.8(19.6)","54.7(13.0)","689.5(171.2)"
"35","PC","ER2","300","300","7.61(11.08)","49.8(12.1)","35.8(9.1)","286.8(71.3)"
"36","GES","ER2","300","300","101.66(172.14)","89.3(21.1)","57.9(13.7)","844.9(205.3)"
"37","MMHC","ER2","300","300","4.82(1.64)","70.2(16.8)","16.9(4.7)","183.0(47.4)"
"38","EqVar","ER2","300","300","19523.60(24588.17)","92.3(21.7)","40.9(9.9)","424.6(109.3)"
"39","CLIME","ER2","300","300","8789.63(9597.10)","82.8(19.6)","54.7(13.0)","689.5(171.2)"
"40","PC","ER2","300","300","7.61(11.08)","49.8(12.1)","35.8(9.1)","286.8(71.3)"
"41","GES","ER2","300","300","101.66(172.14)","89.3(21.1)","57.9(13.7)","844.9(205.3)"
"42","MMHC","ER2","300","300","4.82(1.64)","70.2(16.8)","16.9(4.7)","183.0(47.4)"
"43","EqVar","ER2","300","300","19523.60(24588.17)","92.3(21.7)","40.9(9.9)","424.6(109.3)"
"44","CLIME","ER2","300","300","8789.63(9597.10)","82.8(19.6)","54.7(13.0)","689.5(171.2)"
"45","PC","ER2","300","300","7.61(11.08)","49.8(12.1)","35.8(9.1)","286.8(71.3)"
"46","GES","ER2","300","300","101.66(172.14)","89.3(21.1)","57.9(13.7)","844.9(205.3)"
"47","MMHC","ER2","300","300","4.82(1.64)","70.2(16.8)","16.9(4.7)","183.0(47.4)"
"48","EqVar","ER2","300","300","19523.60(24588.17)","92.3(21.7)","40.9(9.9)","424.6(109.3)"
"49","CLIME","ER2","300","300","8789.63(9597.10)","82.8(19.6)","54.7(13.0)","689.5(171.2)"
"50","PC","ER2","300","300","7.61(11.08)","49.8(12.1)","35.8(9.1)","286.8(71.3)"
"51","GES","ER2","300","300","101.66(172.14)","89.3(21.1)","57.9(13.7)","844.9(205.3)"
"52","MMHC","ER2","300","300","4.82(1.64)","70.2(16.8)","16.9(4.7)","183.0(47.4)"
"53","abessdag","ER2","300","1000","6377.54(1885.65)","100.0(0.0)","0.5(0.3)","2.9(1.7)"
"54","EqVar","ER2","300","1000","16651.68(10722.31)","100.0(0.0)","17.7(1.4)","129.2(12.4)"
"55","CLIME","ER2","300","1000","7569.23(7706.22)","93.0(1.0)","42.9(3.3)","424.4(53.8)"
"56","PC","ER2","300","1000","23.64(46.93)","57.2(3.0)","32.5(3.6)","259.0(22.0)"
"57","GES","ER2","300","1000","129.74(194.84)","94.6(1.4)","46.1(2.2)","485.8(35.5)"
"58","MMHC","ER2","300","1000","22.75(32.82)","83.5(2.0)","15.6(1.9)","130.3(12.4)"
"59","EqVar","ER2","300","1000","16651.68(10722.31)","100.0(0.0)","17.7(1.4)","129.2(12.4)"
