"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"60","CLIME","ER2","300","1000","7569.23(7706.22)","93.0(1.0)","42.9(3.3)","424.4(53.8)"
"61","PC","ER2","300","1000","23.64(46.93)","57.2(3.0)","32.5(3.6)","259.0(22.0)"
"62","GES","ER2","300","1000","129.74(194.84)","94.6(1.4)","46.1(2.2)","485.8(35.5)"
"63","MMHC","ER2","300","1000","22.75(32.82)","83.5(2.0)","15.6(1.9)","130.3(12.4)"
"64","EqVar","ER2","300","1000","16651.68(10722.31)","100.0(0.0)","17.7(1.4)","129.2(12.4)"
"65","CLIME","ER2","300","1000","7569.23(7706.22)","93.0(1.0)","42.9(3.3)","424.4(53.8)"
"66","PC","ER2","300","1000","23.64(46.93)","57.2(3.0)","32.5(3.6)","259.0(22.0)"
"67","GES","ER2","300","1000","129.74(194.84)","94.6(1.4)","46.1(2.2)","485.8(35.5)"
"68","MMHC","ER2","300","1000","22.75(32.82)","83.5(2.0)","15.6(1.9)","130.3(12.4)"
"69","EqVar","ER2","300","1000","16651.68(10722.31)","100.0(0.0)","17.7(1.4)","129.2(12.4)"
"70","CLIME","ER2","300","1000","7569.23(7706.22)","93.0(1.0)","42.9(3.3)","424.4(53.8)"
"71","PC","ER2","300","1000","23.64(46.93)","57.2(3.0)","32.5(3.6)","259.0(22.0)"
"72","GES","ER2","300","1000","129.74(194.84)","94.6(1.4)","46.1(2.2)","485.8(35.5)"
"73","MMHC","ER2","300","1000","22.75(32.82)","83.5(2.0)","15.6(1.9)","130.3(12.4)"
"74","EqVar","ER2","300","1000","16651.68(10722.31)","100.0(0.0)","17.7(1.4)","129.2(12.4)"
"75","CLIME","ER2","300","1000","7569.23(7706.22)","93.0(1.0)","42.9(3.3)","424.4(53.8)"
"76","PC","ER2","300","1000","23.64(46.93)","57.2(3.0)","32.5(3.6)","259.0(22.0)"
"77","GES","ER2","300","1000","129.74(194.84)","94.6(1.4)","46.1(2.2)","485.8(35.5)"
"78","MMHC","ER2","300","1000","22.75(32.82)","83.5(2.0)","15.6(1.9)","130.3(12.4)"
"79","abessdag","ER5","300","100","82.18(3.62)","76.7(5.2)","20.0(5.3)","623.0(154.9)"
"80","EqVar","ER5","300","100","5032.97(26.11)","38.0(2.2)","81.4(1.4)","3121.1(189.6)"
"81","CLIME","ER5","300","100","565.50(17.38)","27.0(1.6)","88.6(0.9)","3726.2(223.7)"
"82","PC","ER5","300","100","34.26(2.25)","14.5(1.1)","55.8(2.0)","1384.3(35.6)"
"83","GES","ER5","300","100","1990.37(268.15)","67.2(5.5)","82.0(1.5)","4920.4(315.1)"
"84","MMHC","ER5","300","100","4.69(0.27)","14.9(1.5)","39.5(3.2)","1320.7(37.8)"
"85","EqVar","ER5","300","100","5032.97(26.11)","38.0(2.2)","81.4(1.4)","3121.1(189.6)"
"86","CLIME","ER5","300","100","565.50(17.38)","27.0(1.6)","88.6(0.9)","3726.2(223.7)"
"87","PC","ER5","300","100","34.26(2.25)","14.5(1.1)","55.8(2.0)","1384.3(35.6)"
"88","GES","ER5","300","100","1990.37(268.15)","67.2(5.5)","82.0(1.5)","4920.4(315.1)"
"89","MMHC","ER5","300","100","4.69(0.27)","14.9(1.5)","39.5(3.2)","1320.7(37.8)"
"90","EqVar","ER5","300","100","5032.97(26.11)","38.0(2.2)","81.4(1.4)","3121.1(189.6)"
"91","CLIME","ER5","300","100","565.50(17.38)","27.0(1.6)","88.6(0.9)","3726.2(223.7)"
"92","PC","ER5","300","100","34.26(2.25)","14.5(1.1)","55.8(2.0)","1384.3(35.6)"
"93","GES","ER5","300","100","1990.37(268.15)","67.2(5.5)","82.0(1.5)","4920.4(315.1)"
"94","MMHC","ER5","300","100","4.69(0.27)","14.9(1.5)","39.5(3.2)","1320.7(37.8)"
"95","EqVar","ER5","300","100","5032.97(26.11)","38.0(2.2)","81.4(1.4)","3121.1(189.6)"
"96","CLIME","ER5","300","100","565.50(17.38)","27.0(1.6)","88.6(0.9)","3726.2(223.7)"
"97","PC","ER5","300","100","34.26(2.25)","14.5(1.1)","55.8(2.0)","1384.3(35.6)"
"98","GES","ER5","300","100","1990.37(268.15)","67.2(5.5)","82.0(1.5)","4920.4(315.1)"
"99","MMHC","ER5","300","100","4.69(0.27)","14.9(1.5)","39.5(3.2)","1320.7(37.8)"
"100","EqVar","ER5","300","100","5032.97(26.11)","38.0(2.2)","81.4(1.4)","3121.1(189.6)"
"101","CLIME","ER5","300","100","565.50(17.38)","27.0(1.6)","88.6(0.9)","3726.2(223.7)"
"102","PC","ER5","300","100","34.26(2.25)","14.5(1.1)","55.8(2.0)","1384.3(35.6)"
"103","GES","ER5","300","100","1990.37(268.15)","67.2(5.5)","82.0(1.5)","4920.4(315.1)"
"104","MMHC","ER5","300","100","4.69(0.27)","14.9(1.5)","39.5(3.2)","1320.7(37.8)"
"105","abessdag","ER5","300","300","527.48(138.58)","97.3(2.0)","14.7(5.6)","294.2(140.6)"
"106","EqVar","ER5","300","300","9851.96(341.96)","96.4(0.8)","52.6(2.7)","1640.0(188.9)"
"107","CLIME","ER5","300","300","4471.48(203.82)","78.6(3.3)","73.4(2.9)","3432.8(420.5)"
"108","PC","ER5","300","300","27.67(2.30)","16.3(1.1)","50.9(2.1)","1313.4(36.8)"
"109","GES","ER5","300","300","666.22(124.26)","79.4(5.5)","65.4(5.5)","2446.2(434.6)"
"110","MMHC","ER5","300","300","9.30(0.46)","23.8(2.4)","29.6(3.6)","1195.7(48.5)"
"111","EqVar","ER5","300","300","9851.96(341.96)","96.4(0.8)","52.6(2.7)","1640.0(188.9)"
"112","CLIME","ER5","300","300","4471.48(203.82)","78.6(3.3)","73.4(2.9)","3432.8(420.5)"
"113","PC","ER5","300","300","27.67(2.30)","16.3(1.1)","50.9(2.1)","1313.4(36.8)"
"114","GES","ER5","300","300","666.22(124.26)","79.4(5.5)","65.4(5.5)","2446.2(434.6)"
"115","MMHC","ER5","300","300","9.30(0.46)","23.8(2.4)","29.6(3.6)","1195.7(48.5)"
"116","EqVar","ER5","300","300","9851.96(341.96)","96.4(0.8)","52.6(2.7)","1640.0(188.9)"
"117","CLIME","ER5","300","300","4471.48(203.82)","78.6(3.3)","73.4(2.9)","3432.8(420.5)"
"118","PC","ER5","300","300","27.67(2.30)","16.3(1.1)","50.9(2.1)","1313.4(36.8)"
"119","GES","ER5","300","300","666.22(124.26)","79.4(5.5)","65.4(5.5)","2446.2(434.6)"
"120","MMHC","ER5","300","300","9.30(0.46)","23.8(2.4)","29.6(3.6)","1195.7(48.5)"
"121","EqVar","ER5","300","300","9851.96(341.96)","96.4(0.8)","52.6(2.7)","1640.0(188.9)"
"122","CLIME","ER5","300","300","4471.48(203.82)","78.6(3.3)","73.4(2.9)","3432.8(420.5)"
"123","PC","ER5","300","300","27.67(2.30)","16.3(1.1)","50.9(2.1)","1313.4(36.8)"
"124","GES","ER5","300","300","666.22(124.26)","79.4(5.5)","65.4(5.5)","2446.2(434.6)"
"125","MMHC","ER5","300","300","9.30(0.46)","23.8(2.4)","29.6(3.6)","1195.7(48.5)"
"126","EqVar","ER5","300","300","9851.96(341.96)","96.4(0.8)","52.6(2.7)","1640.0(188.9)"
"127","CLIME","ER5","300","300","4471.48(203.82)","78.6(3.3)","73.4(2.9)","3432.8(420.5)"
"128","PC","ER5","300","300","27.67(2.30)","16.3(1.1)","50.9(2.1)","1313.4(36.8)"
"129","GES","ER5","300","300","666.22(124.26)","79.4(5.5)","65.4(5.5)","2446.2(434.6)"
"130","MMHC","ER5","300","300","9.30(0.46)","23.8(2.4)","29.6(3.6)","1195.7(48.5)"
"131","abessdag","ER5","300","1000","8711.66(1651.79)","99.9(0.1)","11.1(7.7)","193.7(147.4)"
"132","EqVar","ER5","300","1000","20429.46(14311.20)","100.0(0.0)","29.5(3.0)","626.9(94.6)"
"133","CLIME","ER5","300","1000","8913.46(8525.73)","94.5(0.8)","59.5(3.3)","2107.9(315.0)"
"134","PC","ER5","300","1000","48.39(84.70)","17.5(1.2)","48.6(2.2)","1289.1(33.2)"
"135","GES","ER5","300","1000","2327.63(1889.35)","84.2(4.4)","70.8(6.1)","3249.8(765.7)"
"136","MMHC","ER5","300","1000","78.11(110.71)","29.9(3.0)","27.2(3.3)","1122.0(62.5)"
"137","EqVar","ER5","300","1000","20429.46(14311.20)","100.0(0.0)","29.5(3.0)","626.9(94.6)"
"138","CLIME","ER5","300","1000","8913.46(8525.73)","94.5(0.8)","59.5(3.3)","2107.9(315.0)"
"139","PC","ER5","300","1000","48.39(84.70)","17.5(1.2)","48.6(2.2)","1289.1(33.2)"
"140","GES","ER5","300","1000","2327.63(1889.35)","84.2(4.4)","70.8(6.1)","3249.8(765.7)"
"141","MMHC","ER5","300","1000","78.11(110.71)","29.9(3.0)","27.2(3.3)","1122.0(62.5)"
"142","EqVar","ER5","300","1000","20429.46(14311.20)","100.0(0.0)","29.5(3.0)","626.9(94.6)"
"143","CLIME","ER5","300","1000","8913.46(8525.73)","94.5(0.8)","59.5(3.3)","2107.9(315.0)"
"144","PC","ER5","300","1000","48.39(84.70)","17.5(1.2)","48.6(2.2)","1289.1(33.2)"
"145","GES","ER5","300","1000","2327.63(1889.35)","84.2(4.4)","70.8(6.1)","3249.8(765.7)"
"146","MMHC","ER5","300","1000","78.11(110.71)","29.9(3.0)","27.2(3.3)","1122.0(62.5)"
"147","EqVar","ER5","300","1000","20429.46(14311.20)","100.0(0.0)","29.5(3.0)","626.9(94.6)"
"148","CLIME","ER5","300","1000","8913.46(8525.73)","94.5(0.8)","59.5(3.3)","2107.9(315.0)"
"149","PC","ER5","300","1000","48.39(84.70)","17.5(1.2)","48.6(2.2)","1289.1(33.2)"
"150","GES","ER5","300","1000","2327.63(1889.35)","84.2(4.4)","70.8(6.1)","3249.8(765.7)"
"151","MMHC","ER5","300","1000","78.11(110.71)","29.9(3.0)","27.2(3.3)","1122.0(62.5)"
"152","EqVar","ER5","300","1000","20429.46(14311.20)","100.0(0.0)","29.5(3.0)","626.9(94.6)"
"153","CLIME","ER5","300","1000","8913.46(8525.73)","94.5(0.8)","59.5(3.3)","2107.9(315.0)"
"154","PC","ER5","300","1000","48.39(84.70)","17.5(1.2)","48.6(2.2)","1289.1(33.2)"
"155","GES","ER5","300","1000","2327.63(1889.35)","84.2(4.4)","70.8(6.1)","3249.8(765.7)"
"156","MMHC","ER5","300","1000","78.11(110.71)","29.9(3.0)","27.2(3.3)","1122.0(62.5)"
"157","abessdag","BA2","300","100","78.83(1.10)","87.6(3.7)","25.5(6.0)","246.1(71.4)"
"158","EqVar","BA2","300","100","4922.12(29.99)","64.8(3.6)","69.7(2.8)","987.2(79.8)"
"159","CLIME","BA2","300","100","568.72(22.00)","37.8(2.9)","85.4(1.6)","1449.2(103.1)"
"160","PC","BA2","300","100","47.21(4.40)","28.1(2.4)","55.4(3.3)","510.0(23.4)"
"161","GES","BA2","300","100","601.16(160.35)","71.7(4.0)","85.6(2.0)","2664.9(332.8)"
"162","MMHC","BA2","300","100","5.16(0.37)","31.2(3.0)","38.0(3.9)","454.0(24.1)"
"163","EqVar","BA2","300","100","4922.12(29.99)","64.8(3.6)","69.7(2.8)","987.2(79.8)"
"164","CLIME","BA2","300","100","568.72(22.00)","37.8(2.9)","85.4(1.6)","1449.2(103.1)"
"165","PC","BA2","300","100","47.21(4.40)","28.1(2.4)","55.4(3.3)","510.0(23.4)"
"166","GES","BA2","300","100","601.16(160.35)","71.7(4.0)","85.6(2.0)","2664.9(332.8)"
"167","MMHC","BA2","300","100","5.16(0.37)","31.2(3.0)","38.0(3.9)","454.0(24.1)"
"168","EqVar","BA2","300","100","4922.12(29.99)","64.8(3.6)","69.7(2.8)","987.2(79.8)"
"169","CLIME","BA2","300","100","568.72(22.00)","37.8(2.9)","85.4(1.6)","1449.2(103.1)"
"170","PC","BA2","300","100","47.21(4.40)","28.1(2.4)","55.4(3.3)","510.0(23.4)"
"171","GES","BA2","300","100","601.16(160.35)","71.7(4.0)","85.6(2.0)","2664.9(332.8)"
"172","MMHC","BA2","300","100","5.16(0.37)","31.2(3.0)","38.0(3.9)","454.0(24.1)"
"173","EqVar","BA2","300","100","4922.12(29.99)","64.8(3.6)","69.7(2.8)","987.2(79.8)"
"174","CLIME","BA2","300","100","568.72(22.00)","37.8(2.9)","85.4(1.6)","1449.2(103.1)"
"175","PC","BA2","300","100","47.21(4.40)","28.1(2.4)","55.4(3.3)","510.0(23.4)"
"176","GES","BA2","300","100","601.16(160.35)","71.7(4.0)","85.6(2.0)","2664.9(332.8)"
"177","MMHC","BA2","300","100","5.16(0.37)","31.2(3.0)","38.0(3.9)","454.0(24.1)"
"178","EqVar","BA2","300","100","4922.12(29.99)","64.8(3.6)","69.7(2.8)","987.2(79.8)"
"179","CLIME","BA2","300","100","568.72(22.00)","37.8(2.9)","85.4(1.6)","1449.2(103.1)"
"180","PC","BA2","300","100","47.21(4.40)","28.1(2.4)","55.4(3.3)","510.0(23.4)"
"181","GES","BA2","300","100","601.16(160.35)","71.7(4.0)","85.6(2.0)","2664.9(332.8)"
"182","MMHC","BA2","300","100","5.16(0.37)","31.2(3.0)","38.0(3.9)","454.0(24.1)"
"183","abessdag","BA2","300","300","447.95(64.33)","98.5(1.1)","16.0(6.4)","124.2(63.3)"
"184","EqVar","BA2","300","300","9055.16(447.48)","96.0(1.0)","30.6(2.6)","267.7(33.4)"
"185","CLIME","BA2","300","300","4485.23(374.80)","34.9(4.8)","90.1(1.8)","1975.6(149.4)"
"186","PC","BA2","300","300","46.43(5.87)","31.6(2.4)","47.7(3.4)","446.0(25.8)"
"187","GES","BA2","300","300","70.33(11.59)","80.7(2.6)","64.1(2.4)","885.9(71.1)"
"188","MMHC","BA2","300","300","9.69(0.85)","42.7(3.9)","31.1(5.0)","387.2(32.8)"
"189","EqVar","BA2","300","300","9055.16(447.48)","96.0(1.0)","30.6(2.6)","267.7(33.4)"
"190","CLIME","BA2","300","300","4485.23(374.80)","34.9(4.8)","90.1(1.8)","1975.6(149.4)"
"191","PC","BA2","300","300","46.43(5.87)","31.6(2.4)","47.7(3.4)","446.0(25.8)"
"192","GES","BA2","300","300","70.33(11.59)","80.7(2.6)","64.1(2.4)","885.9(71.1)"
"193","MMHC","BA2","300","300","9.69(0.85)","42.7(3.9)","31.1(5.0)","387.2(32.8)"
"194","EqVar","BA2","300","300","9055.16(447.48)","96.0(1.0)","30.6(2.6)","267.7(33.4)"
"195","CLIME","BA2","300","300","4485.23(374.80)","34.9(4.8)","90.1(1.8)","1975.6(149.4)"
"196","PC","BA2","300","300","46.43(5.87)","31.6(2.4)","47.7(3.4)","446.0(25.8)"
"197","GES","BA2","300","300","70.33(11.59)","80.7(2.6)","64.1(2.4)","885.9(71.1)"
"198","MMHC","BA2","300","300","9.69(0.85)","42.7(3.9)","31.1(5.0)","387.2(32.8)"
"199","EqVar","BA2","300","300","9055.16(447.48)","96.0(1.0)","30.6(2.6)","267.7(33.4)"
"200","CLIME","BA2","300","300","4485.23(374.80)","34.9(4.8)","90.1(1.8)","1975.6(149.4)"
"201","PC","BA2","300","300","46.43(5.87)","31.6(2.4)","47.7(3.4)","446.0(25.8)"
"202","GES","BA2","300","300","70.33(11.59)","80.7(2.6)","64.1(2.4)","885.9(71.1)"
"203","MMHC","BA2","300","300","9.69(0.85)","42.7(3.9)","31.1(5.0)","387.2(32.8)"
"204","EqVar","BA2","300","300","9055.16(447.48)","96.0(1.0)","30.6(2.6)","267.7(33.4)"
"205","CLIME","BA2","300","300","4485.23(374.80)","34.9(4.8)","90.1(1.8)","1975.6(149.4)"
"206","PC","BA2","300","300","46.43(5.87)","31.6(2.4)","47.7(3.4)","446.0(25.8)"
"207","GES","BA2","300","300","70.33(11.59)","80.7(2.6)","64.1(2.4)","885.9(71.1)"
"208","MMHC","BA2","300","300","9.69(0.85)","42.7(3.9)","31.1(5.0)","387.2(32.8)"
"209","abessdag","BA2","300","1000","6255.97(1313.06)","99.9(0.3)","11.0(5.7)","77.2(48.4)"
"210","EqVar","BA2","300","1000","17916.33(10402.12)","99.9(0.2)","17.3(2.5)","126.1(23.6)"
"211","CLIME","BA2","300","1000","8002.51(6593.12)","85.9(2.1)","52.0(5.3)","568.2(113.1)"
"212","PC","BA2","300","1000","193.46(276.59)","32.9(2.5)","46.1(2.9)","433.5(23.1)"
"213","GES","BA2","300","1000","180.50(326.25)","85.1(2.8)","55.3(3.7)","641.5(81.3)"
"214","MMHC","BA2","300","1000","252.47(300.50)","48.7(3.3)","29.9(3.9)","362.0(32.2)"
"215","EqVar","BA2","300","1000","17916.33(10402.12)","99.9(0.2)","17.3(2.5)","126.1(23.6)"
"216","CLIME","BA2","300","1000","8002.51(6593.12)","85.9(2.1)","52.0(5.3)","568.2(113.1)"
"217","PC","BA2","300","1000","193.46(276.59)","32.9(2.5)","46.1(2.9)","433.5(23.1)"
"218","GES","BA2","300","1000","180.50(326.25)","85.1(2.8)","55.3(3.7)","641.5(81.3)"
"219","MMHC","BA2","300","1000","252.47(300.50)","48.7(3.3)","29.9(3.9)","362.0(32.2)"
"220","EqVar","BA2","300","1000","17916.33(10402.12)","99.9(0.2)","17.3(2.5)","126.1(23.6)"
"221","CLIME","BA2","300","1000","8002.51(6593.12)","85.9(2.1)","52.0(5.3)","568.2(113.1)"
"222","PC","BA2","300","1000","193.46(276.59)","32.9(2.5)","46.1(2.9)","433.5(23.1)"
"223","GES","BA2","300","1000","180.50(326.25)","85.1(2.8)","55.3(3.7)","641.5(81.3)"
"224","MMHC","BA2","300","1000","252.47(300.50)","48.7(3.3)","29.9(3.9)","362.0(32.2)"
"225","EqVar","BA2","300","1000","17916.33(10402.12)","99.9(0.2)","17.3(2.5)","126.1(23.6)"
"226","CLIME","BA2","300","1000","8002.51(6593.12)","85.9(2.1)","52.0(5.3)","568.2(113.1)"
"227","PC","BA2","300","1000","193.46(276.59)","32.9(2.5)","46.1(2.9)","433.5(23.1)"
"228","GES","BA2","300","1000","180.50(326.25)","85.1(2.8)","55.3(3.7)","641.5(81.3)"
"229","MMHC","BA2","300","1000","252.47(300.50)","48.7(3.3)","29.9(3.9)","362.0(32.2)"
"230","EqVar","BA2","300","1000","17916.33(10402.12)","99.9(0.2)","17.3(2.5)","126.1(23.6)"
"231","CLIME","BA2","300","1000","8002.51(6593.12)","85.9(2.1)","52.0(5.3)","568.2(113.1)"
"232","PC","BA2","300","1000","193.46(276.59)","32.9(2.5)","46.1(2.9)","433.5(23.1)"
"233","GES","BA2","300","1000","180.50(326.25)","85.1(2.8)","55.3(3.7)","641.5(81.3)"
"234","MMHC","BA2","300","1000","252.47(300.50)","48.7(3.3)","29.9(3.9)","362.0(32.2)"
"235","abessdag","BA5","300","100","94.82(2.51)","58.0(5.7)","62.5(3.6)","2024.3(163.7)"
"236","EqVar","BA5","300","100","5049.50(24.96)","53.5(1.7)","81.9(0.9)","4087.8(187.6)"
"237","CLIME","BA5","300","100","409.78(20.15)","26.3(2.1)","92.0(0.7)","5135.3(193.9)"
"238","PC","BA5","300","100","41.14(3.45)","4.7(0.7)","73.8(3.0)","1561.6(19.4)"
"239","GES","BA5","300","100","2612.68(492.82)","34.8(1.9)","90.4(1.0)","5486.3(404.2)"
"240","MMHC","BA5","300","100","7.22(0.35)","3.7(0.7)","75.1(3.9)","1536.8(16.6)"
"241","EqVar","BA5","300","100","5049.50(24.96)","53.5(1.7)","81.9(0.9)","4087.8(187.6)"
"242","CLIME","BA5","300","100","409.78(20.15)","26.3(2.1)","92.0(0.7)","5135.3(193.9)"
"243","PC","BA5","300","100","41.14(3.45)","4.7(0.7)","73.8(3.0)","1561.6(19.4)"
"244","GES","BA5","300","100","2612.68(492.82)","34.8(1.9)","90.4(1.0)","5486.3(404.2)"
"245","MMHC","BA5","300","100","7.22(0.35)","3.7(0.7)","75.1(3.9)","1536.8(16.6)"
"246","EqVar","BA5","300","100","5049.50(24.96)","53.5(1.7)","81.9(0.9)","4087.8(187.6)"
"247","CLIME","BA5","300","100","409.78(20.15)","26.3(2.1)","92.0(0.7)","5135.3(193.9)"
"248","PC","BA5","300","100","41.14(3.45)","4.7(0.7)","73.8(3.0)","1561.6(19.4)"
"249","GES","BA5","300","100","2612.68(492.82)","34.8(1.9)","90.4(1.0)","5486.3(404.2)"
"250","MMHC","BA5","300","100","7.22(0.35)","3.7(0.7)","75.1(3.9)","1536.8(16.6)"
"251","EqVar","BA5","300","100","5049.50(24.96)","53.5(1.7)","81.9(0.9)","4087.8(187.6)"
"252","CLIME","BA5","300","100","409.78(20.15)","26.3(2.1)","92.0(0.7)","5135.3(193.9)"
"253","PC","BA5","300","100","41.14(3.45)","4.7(0.7)","73.8(3.0)","1561.6(19.4)"
"254","GES","BA5","300","100","2612.68(492.82)","34.8(1.9)","90.4(1.0)","5486.3(404.2)"
"255","MMHC","BA5","300","100","7.22(0.35)","3.7(0.7)","75.1(3.9)","1536.8(16.6)"
"256","EqVar","BA5","300","100","5049.50(24.96)","53.5(1.7)","81.9(0.9)","4087.8(187.6)"
"257","CLIME","BA5","300","100","409.78(20.15)","26.3(2.1)","92.0(0.7)","5135.3(193.9)"
"258","PC","BA5","300","100","41.14(3.45)","4.7(0.7)","73.8(3.0)","1561.6(19.4)"
"259","GES","BA5","300","100","2612.68(492.82)","34.8(1.9)","90.4(1.0)","5486.3(404.2)"
"260","MMHC","BA5","300","100","7.22(0.35)","3.7(0.7)","75.1(3.9)","1536.8(16.6)"
