"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"53","GES","BA2","100","500","1.82(0.54)","76.5(4.3)","53.9(5.2)","185.3(30.2)"
"54","MMHC","BA2","100","500","2.00(1.09)","46.6(3.8)","32.1(4.3)","120.5(10.1)"
"55","abessdag","BA5","100","50","8.35(0.08)","43.1(4.5)","55.6(3.8)","514.6(33.9)"
"56","EqVar","BA5","100","50","45.61(31.26)","46.3(2.9)","69.7(2.2)","720.0(42.7)"
"57","CLIME","BA5","100","50","34.26(24.74)","20.0(2.7)","87.8(1.9)","953.5(48.1)"
"58","PC","BA5","100","50","3.98(3.12)","5.9(1.1)","71.5(5.0)","497.6(10.1)"
"59","GES","BA5","100","50","103.58(284.28)","26.3(2.9)","86.6(1.9)","1070.9(81.1)"
"60","MMHC","BA5","100","50","0.78(0.67)","4.2(1.0)","71.0(5.8)","484.6(7.9)"
"61","abessdag","BA5","100","200","19.13(0.33)","91.9(3.0)","43.5(6.2)","380.2(90.4)"
"62","EqVar","BA5","100","200","83.12(59.10)","91.4(1.5)","51.1(3.4)","496.0(61.4)"
"63","CLIME","BA5","100","200","71.06(41.60)","33.4(3.8)","88.1(1.4)","1322.7(57.4)"
"64","PC","BA5","100","200","3.32(0.25)","6.1(1.2)","70.7(5.2)","493.8(9.6)"
"65","GES","BA5","100","200","21.78(2.58)","40.3(4.5)","80.6(2.6)","941.3(58.9)"
"66","MMHC","BA5","100","200","1.08(0.16)","5.9(1.2)","69.4(5.7)","485.4(9.6)"
"67","abessdag","BA5","100","500","104.72(13.22)","99.2(0.8)","38.8(7.1)","313.0(100.7)"
"68","EqVar","BA5","100","500","76.05(5.06)","98.6(0.7)","48.6(4.4)","456.6(81.9)"
"69","CLIME","BA5","100","500","62.94(4.36)","84.9(2.7)","66.0(3.6)","823.0(115.9)"
"70","PC","BA5","100","500","3.29(0.28)","6.6(1.1)","69.3(4.9)","492.0(9.4)"
"71","GES","BA5","100","500","36.77(4.60)","45.4(4.3)","82.7(2.2)","1118.9(75.1)"
"72","MMHC","BA5","100","500","1.81(0.10)","6.4(1.1)","69.7(4.8)","486.7(9.6)"
