,0,1
0,Egypt,Algeria
1,Egypt,Nigeria
2,Egypt,Togo
3,Egypt,Congo (Kinshasa)
4,Togo,Congo (Kinshasa)
5,Senegal,Cote d'Ivoire
6,South Africa,Cote d'Ivoire
7,South Africa,Kenya
8,Togo,Kenya
9,Tunisia,Ethiopia
10,Ethiopia,Rwanda
11,Congo (Kinshasa),Namibia
12,Egypt,Mauritania
13,Kenya,Mauritania
14,Togo,Zambia
15,Cote d'Ivoire,Zambia
16,Togo,Djibouti
17,Rwanda,Angola
18,Kenya,Zimbabwe
19,Morocco,Libya
20,South Africa,Malawi
