"","Errortype","Method","Graph","p","n","Time","TPR","FDR","SHD"
"49","Laplace","GES","ER2","30","30","0.08(0.02)","44.5(9.3)","71.3(6.6)","85.4(12.4)"
"50","Laplace","GES","ER2","30","100","0.08(0.03)","66.5(13.8)","54.6(11.9)","55.6(19.1)"
"51","Laplace","GES","ER2","30","300","0.07(0.02)","73.9(12.5)","51.2(14.3)","52.3(25.1)"
"52","Laplace","MMHC","ER2","30","30","0.03(0.01)","16.9(4.7)","53.3(10.5)","52.7(8.2)"
"53","Laplace","MMHC","ER2","30","100","0.05(0.01)","38.1(8.8)","37.5(11.2)","39.4(8.8)"
"54","Laplace","MMHC","ER2","30","300","0.07(0.01)","49.8(10.2)","33.2(10.3)","32.9(9.4)"
"55","Laplace","EqVar","ER2","30","30","2.20(0.39)","50.4(7.1)","47.2(7.9)","50.8(9.1)"
"56","Laplace","EqVar","ER2","30","100","1.48(0.32)","94.3(3.7)","27.7(5.0)","24.0(6.2)"
"57","Laplace","EqVar","ER2","30","300","1.34(0.09)","99.8(0.6)","18.8(4.1)","14.0(4.1)"
"58","Laplace","CLIME","ER2","30","30","1.96(0.34)","28.7(6.3)","73.8(6.1)","73.0(12.3)"
"59","Laplace","CLIME","ER2","30","100","1.41(0.28)","36.4(11.1)","80.1(7.2)","98.6(20.3)"
"60","Laplace","CLIME","ER2","30","300","1.26(0.11)","90.7(4.8)","39.7(9.9)","38.3(15.2)"
"61","Uniform","abessdag","ER2","30","30","0.73(0.13)","59.5(9.3)","24.7(8.5)","34.1(9.1)"
"62","Uniform","abessdag","ER2","30","100","0.87(0.05)","96.4(3.3)","7.7(5.9)","6.6(5.3)"
"63","Uniform","abessdag","ER2","30","300","1.05(0.04)","99.9(0.3)","2.3(2.5)","1.5(1.8)"
"64","Uniform","notears","ER2","30","30","8.62(3.87)","67.3(8.8)","30.6(8.6)","34.2(9.3)"
"65","Uniform","notears","ER2","30","100","4.48(1.36)","89.4(5.7)","4.3(3.8)","7.4(4.6)"
"66","Uniform","notears","ER2","30","300","4.23(1.47)","94.9(3.8)","2.9(2.9)","3.6(3.1)"
"67","Gumbel","abessdag","ER2","30","30","0.69(0.05)","55.0(9.4)","30.3(10.6)","38.2(10.2)"
"68","Gumbel","abessdag","ER2","30","100","0.78(0.03)","96.0(3.5)","8.3(6.1)","7.2(5.5)"
"69","Gumbel","abessdag","ER2","30","300","0.98(0.05)","99.9(0.6)","2.4(3.0)","1.5(2.0)"
"70","Gumbel","notears","ER2","30","30","8.29(4.88)","65.2(8.0)","35.2(7.8)","38.5(9.6)"
"71","Gumbel","notears","ER2","30","100","4.27(1.72)","88.8(5.9)","5.0(4.7)","8.1(5.2)"
"72","Gumbel","notears","ER2","30","300","4.18(2.61)","94.6(4.3)","2.9(3.5)","4.0(3.8)"
"73","t","abessdag","ER2","30","30","0.66(0.02)","47.6(8.8)","37.9(10.9)","44.1(10.4)"
"74","t","abessdag","ER2","30","100","0.76(0.02)","96.6(2.8)","6.7(4.8)","5.8(4.1)"
"75","t","abessdag","ER2","30","300","0.95(0.03)","99.9(0.4)","2.3(2.2)","1.5(1.4)"
"76","t","notears","ER2","30","30","7.65(4.12)","57.8(9.3)","40.3(9.7)","44.2(10.9)"
"77","t","notears","ER2","30","100","4.40(1.72)","88.3(5.8)","5.6(4.8)","8.5(5.2)"
"78","t","notears","ER2","30","300","3.92(1.91)","94.6(4.3)","3.0(3.8)","4.1(4.0)"
"79","Laplace","abessdag","ER2","30","30","0.72(0.03)","52.7(9.6)","32.9(10.0)","39.9(9.4)"
"80","Laplace","abessdag","ER2","30","100","0.85(0.05)","96.2(3.5)","7.5(5.3)","6.6(5.0)"
"81","Laplace","abessdag","ER2","30","300","1.06(0.11)","99.9(0.4)","2.4(2.4)","1.6(1.6)"
"82","Laplace","notears","ER2","30","30","7.47(2.93)","63.6(8.4)","36.0(8.2)","39.1(9.3)"
"83","Laplace","notears","ER2","30","100","4.59(1.46)","89.2(5.8)","5.1(4.7)","7.7(5.2)"
"84","Laplace","notears","ER2","30","300","4.53(2.47)","94.8(4.4)","2.9(3.1)","3.8(3.5)"
"85","Uniform","NPVAR","ER2","30","300","29.85(9.07)","91.4(3.7)","1.0(2.2)","5.6(3.1)"
"86","Gumbel","NPVAR","ER2","30","300","35.05(12.45)","91.2(4.3)","0.9(2.2)","5.6(2.8)"
"87","t","NPVAR","ER2","30","300","23.99(1.15)","91.5(3.8)","0.6(1.7)","5.4(2.8)"
"88","Laplace","NPVAR","ER2","30","300","23.29(0.30)","91.6(3.6)","0.5(1.3)","5.3(2.6)"
