,Time,TPR,FDR,SHD,Layer
0,4.61,95.27,30.9,229.0,45.0
1,4.2,94.85,21.99,160.0,44.0
2,4.84,95.94,28.22,216.0,46.0
3,3.98,92.99,32.74,276.0,43.0
4,4.27,93.2,21.7,168.0,43.0
5,4.87,95.38,29.94,236.0,47.0
6,4.3,99.01,17.19,108.0,42.0
7,4.59,95.57,23.14,163.0,46.0
8,3.7,96.48,19.66,131.0,40.0
9,4.74,87.19,34.39,301.0,49.0
10,4.72,94.9,24.39,173.0,48.0
11,5.06,96.98,23.32,171.0,50.0
12,4.32,95.44,24.25,177.0,45.0
13,5.99,95.02,33.2,281.0,56.0
14,4.91,94.32,27.23,202.0,49.0
15,5.26,91.75,34.46,274.0,50.0
16,4.76,95.91,21.2,139.0,46.0
17,4.77,95.87,22.33,160.0,46.0
18,4.08,98.57,14.84,91.0,39.0
19,4.65,100.0,18.48,117.0,42.0
20,4.74,98.53,16.7,101.0,44.0
21,5.63,90.68,32.8,297.0,56.0
22,4.91,96.94,27.36,206.0,48.0
23,4.6,96.37,19.62,142.0,46.0
24,5.27,92.09,35.15,307.0,52.0
25,5.53,93.59,30.3,234.0,55.0
26,4.2,96.4,18.17,125.0,41.0
27,4.47,97.5,21.52,151.0,42.0
28,5.2,98.75,24.76,162.0,48.0
29,4.05,96.19,18.37,126.0,40.0
30,4.15,96.52,24.51,179.0,43.0
31,3.78,97.54,23.23,156.0,38.0
32,4.19,99.18,21.34,133.0,43.0
33,4.59,96.66,28.28,209.0,46.0
34,4.3,95.56,18.87,130.0,46.0
35,4.35,97.39,24.57,171.0,42.0
36,4.54,97.62,20.61,139.0,45.0
37,4.21,95.32,26.24,196.0,39.0
38,5.91,88.78,31.85,261.0,59.0
39,4.22,96.68,23.23,154.0,44.0
40,4.06,98.43,19.45,129.0,39.0
41,5.23,94.94,29.26,216.0,51.0
42,4.61,95.7,30.61,226.0,47.0
43,4.88,97.85,22.49,142.0,49.0
44,4.65,98.38,17.63,112.0,44.0
45,4.76,96.92,24.1,176.0,48.0
46,4.17,98.1,22.15,140.0,45.0
47,4.2,97.68,18.34,114.0,39.0
48,4.95,95.34,25.72,193.0,49.0
49,4.35,96.65,27.97,195.0,42.0
50,4.05,93.35,20.85,153.0,40.0
51,3.41,95.56,24.16,164.0,36.0
52,5.16,96.8,24.73,175.0,52.0
53,4.88,95.21,25.81,182.0,46.0
54,5.31,93.25,30.66,261.0,50.0
55,4.44,95.86,21.74,155.0,44.0
56,4.08,88.99,37.24,339.0,42.0
57,4.47,96.81,17.27,110.0,44.0
58,4.55,95.93,20.44,141.0,47.0
59,4.11,98.56,13.85,84.0,38.0
60,4.78,92.76,27.75,230.0,47.0
61,4.88,93.85,30.82,232.0,48.0
62,5.06,96.54,25.2,176.0,49.0
63,4.12,95.66,23.41,176.0,42.0
64,4.55,96.39,21.05,146.0,44.0
65,4.27,98.76,25.66,170.0,42.0
66,4.19,95.68,21.19,146.0,42.0
67,3.56,96.91,19.0,142.0,37.0
68,4.46,98.43,22.12,150.0,45.0
69,4.5,93.14,27.63,204.0,48.0
70,5.04,95.77,20.11,134.0,46.0
71,4.02,95.59,21.67,154.0,40.0
72,4.65,87.98,36.45,341.0,50.0
73,5.84,93.19,25.08,200.0,55.0
74,4.63,92.48,32.99,259.0,47.0
75,4.79,93.84,30.55,230.0,50.0
76,5.0,94.72,25.2,179.0,50.0
77,4.6,97.18,21.88,149.0,42.0
78,5.32,94.05,35.04,305.0,53.0
79,4.82,93.02,27.05,214.0,47.0
80,4.24,94.07,27.9,206.0,44.0
81,4.8,94.76,23.91,185.0,49.0
82,5.23,96.33,27.38,196.0,54.0
83,3.95,96.7,26.14,182.0,43.0
84,4.78,96.38,16.11,110.0,49.0
85,5.43,94.16,34.98,299.0,54.0
86,4.12,94.91,28.96,214.0,42.0
87,3.72,95.34,22.15,149.0,41.0
88,4.69,96.95,16.99,120.0,48.0
89,4.38,94.37,29.26,228.0,42.0
90,5.55,96.72,29.49,227.0,53.0
91,5.05,96.7,29.56,226.0,48.0
92,4.65,94.85,25.71,199.0,48.0
93,4.43,92.93,29.12,222.0,46.0
94,4.79,99.01,13.17,81.0,48.0
95,6.08,95.79,24.77,186.0,50.0
96,5.14,84.13,53.75,616.0,56.0
97,4.75,92.8,28.57,234.0,46.0
98,3.71,96.2,20.42,134.0,39.0
99,4.76,96.57,32.63,246.0,49.0
