,Time,TPR,FDR,SHD,Layer
0,2.97,94.65,31.24,234.0,31.0
1,3.21,94.26,26.32,198.0,36.0
2,2.77,95.16,29.51,231.0,30.0
3,2.73,89.77,34.17,298.0,28.0
4,2.77,92.82,21.25,166.0,30.0
5,3.04,93.27,36.02,306.0,34.0
6,2.79,98.22,18.39,121.0,28.0
7,2.57,96.38,20.96,144.0,27.0
8,2.14,95.86,22.05,151.0,26.0
9,3.46,89.1,34.37,300.0,38.0
10,3.42,91.02,33.03,261.0,36.0
11,3.43,97.35,21.85,158.0,32.0
12,2.59,95.04,25.04,185.0,29.0
13,3.64,92.8,33.73,295.0,34.0
14,3.74,93.91,29.31,222.0,36.0
15,3.71,94.02,33.04,253.0,36.0
16,2.98,96.34,20.28,131.0,30.0
17,2.8,96.26,22.99,165.0,28.0
18,2.45,98.36,12.23,75.0,26.0
19,2.7,99.42,19.59,128.0,27.0
20,2.89,97.9,19.24,121.0,27.0
21,4.05,90.5,34.92,322.0,42.0
22,3.14,95.98,26.82,204.0,32.0
23,2.88,94.26,21.5,164.0,32.0
24,3.43,90.96,37.27,333.0,37.0
25,3.45,93.19,26.66,202.0,37.0
26,2.84,96.4,17.61,121.0,29.0
27,2.63,97.12,21.46,153.0,26.0
28,2.79,97.71,23.86,158.0,27.0
29,2.6,97.19,18.21,122.0,26.0
30,2.94,96.91,22.33,160.0,29.0
31,2.62,97.34,24.72,169.0,28.0
32,2.58,98.56,19.73,124.0,27.0
33,2.74,97.05,28.3,209.0,29.0
34,2.81,95.35,19.86,138.0,32.0
35,2.72,97.19,23.42,162.0,27.0
36,2.82,96.63,22.54,158.0,29.0
37,2.4,96.1,24.04,176.0,24.0
38,4.18,88.18,32.72,271.0,44.0
39,2.82,97.93,18.2,115.0,29.0
40,3.26,98.04,20.41,138.0,32.0
41,3.25,94.33,30.03,225.0,33.0
42,3.49,95.7,30.92,229.0,37.0
43,2.69,98.06,21.65,135.0,27.0
44,3.16,98.58,15.74,97.0,31.0
45,2.88,96.73,25.81,191.0,31.0
46,2.68,96.19,22.09,146.0,30.0
47,2.36,97.47,20.07,127.0,25.0
48,3.36,97.09,24.81,180.0,34.0
49,3.09,96.65,26.94,186.0,30.0
50,2.76,94.96,23.66,170.0,29.0
51,2.44,95.98,23.18,155.0,26.0
52,3.12,96.6,22.97,161.0,33.0
53,3.03,95.0,26.21,186.0,31.0
54,3.3,94.89,31.49,266.0,33.0
55,2.56,94.87,23.41,172.0,25.0
56,2.61,89.74,36.71,332.0,30.0
57,2.67,96.6,19.79,126.0,27.0
58,2.64,96.33,19.01,129.0,28.0
59,2.94,97.33,17.6,114.0,28.0
60,2.82,93.51,25.44,206.0,30.0
61,3.02,94.26,28.35,208.0,31.0
62,3.25,95.73,28.53,209.0,33.0
63,3.12,95.28,25.19,193.0,32.0
64,3.36,95.78,19.43,134.0,32.0
65,2.8,99.17,22.58,144.0,28.0
66,2.98,92.59,21.74,161.0,32.0
67,2.54,97.45,19.88,147.0,27.0
68,3.14,98.43,22.0,149.0,32.0
69,2.69,95.01,27.0,193.0,30.0
70,3.46,95.98,19.22,126.0,34.0
71,2.67,95.39,21.71,155.0,27.0
72,3.32,87.43,37.17,352.0,37.0
73,3.71,93.38,24.46,195.0,39.0
74,3.13,92.68,31.33,242.0,34.0
75,2.51,93.43,31.27,238.0,30.0
76,3.3,94.92,24.8,175.0,34.0
77,2.51,98.79,18.06,114.0,25.0
78,3.24,93.49,37.52,337.0,37.0
79,3.13,93.8,28.51,225.0,31.0
80,2.93,94.07,27.1,199.0,31.0
81,2.66,93.82,24.89,198.0,29.0
82,3.29,95.92,27.91,201.0,35.0
83,2.41,97.94,25.67,174.0,27.0
84,2.81,95.37,16.25,115.0,32.0
85,3.8,89.45,38.47,348.0,42.0
86,2.81,93.89,30.88,234.0,32.0
87,2.98,94.92,25.21,174.0,36.0
88,2.86,93.51,20.33,158.0,34.0
89,2.49,94.76,30.98,245.0,28.0
90,2.85,95.95,31.12,243.0,33.0
91,3.49,93.4,32.35,263.0,35.0
92,3.06,95.99,27.42,211.0,30.0
93,3.15,91.72,33.04,263.0,35.0
94,3.32,98.42,16.44,105.0,34.0
95,3.27,95.03,25.38,194.0,31.0
96,3.73,83.95,53.48,608.0,41.0
97,2.97,92.61,29.34,242.0,32.0
98,2.84,95.36,25.04,170.0,28.0
99,2.91,96.77,34.52,267.0,30.0
