,Time,TPR,FDR,SHD,Layer
0,2.39,91.77,35.83,286.0,26.0
1,2.86,94.65,24.96,185.0,33.0
2,2.55,94.2,30.13,239.0,27.0
3,2.0,89.39,34.17,299.0,24.0
4,2.23,92.23,24.24,191.0,23.0
5,2.82,94.42,29.76,235.0,31.0
6,2.36,99.01,17.33,110.0,24.0
7,2.23,95.77,21.45,149.0,25.0
8,1.78,96.07,18.02,120.0,22.0
9,2.82,87.38,33.19,291.0,33.0
10,2.39,92.45,28.44,215.0,26.0
11,2.46,96.6,25.29,191.0,24.0
12,2.26,95.24,25.7,190.0,25.0
13,2.76,92.25,32.16,279.0,29.0
14,2.64,93.91,28.44,214.0,28.0
15,3.02,92.99,34.54,272.0,30.0
16,2.79,95.91,19.06,123.0,29.0
17,2.86,96.06,22.29,159.0,26.0
18,2.2,99.39,12.75,74.0,21.0
19,2.3,99.61,19.06,123.0,24.0
20,2.5,98.95,16.34,97.0,24.0
21,3.37,90.14,36.17,337.0,36.0
22,2.76,95.79,27.91,215.0,28.0
23,2.22,95.79,20.6,152.0,26.0
24,2.97,90.4,37.5,339.0,32.0
25,3.02,93.19,26.66,202.0,34.0
26,2.2,97.8,18.09,119.0,21.0
27,2.43,96.92,22.1,157.0,23.0
28,2.56,97.5,27.33,188.0,25.0
29,2.33,95.39,21.84,155.0,23.0
30,1.94,94.39,26.73,206.0,22.0
31,2.08,96.93,25.51,177.0,23.0
32,1.97,98.36,20.43,130.0,21.0
33,2.14,94.7,27.08,206.0,23.0
34,2.51,95.76,17.57,120.0,30.0
35,2.23,96.59,26.11,187.0,24.0
36,2.56,98.81,20.92,137.0,23.0
37,2.04,96.88,22.46,160.0,21.0
38,3.4,87.37,32.72,273.0,37.0
39,2.13,96.89,21.51,142.0,24.0
40,2.4,97.25,23.26,163.0,25.0
41,3.09,94.53,30.51,230.0,32.0
42,2.81,93.24,34.63,270.0,30.0
43,2.27,98.06,22.58,141.0,24.0
44,2.88,97.98,16.98,108.0,30.0
45,2.33,96.54,25.3,188.0,26.0
46,2.38,97.04,22.47,145.0,26.0
47,2.19,96.84,21.67,141.0,23.0
48,2.7,96.5,26.91,201.0,27.0
49,2.64,96.86,23.89,160.0,26.0
50,1.89,93.35,21.92,160.0,22.0
51,2.01,95.77,24.37,165.0,23.0
52,2.92,96.8,25.77,184.0,29.0
53,2.38,94.38,27.87,202.0,23.0
54,2.75,97.26,31.75,263.0,30.0
55,2.62,95.46,20.53,147.0,27.0
56,1.95,92.35,33.82,293.0,23.0
57,2.32,96.6,19.79,127.0,23.0
58,2.32,96.13,21.85,149.0,26.0
59,2.4,98.35,16.29,101.0,22.0
60,2.41,92.76,26.79,221.0,28.0
61,2.63,94.26,28.46,209.0,27.0
62,2.65,95.73,26.75,193.0,28.0
63,2.33,96.6,22.07,161.0,24.0
64,3.06,95.78,19.97,138.0,30.0
65,2.43,98.97,23.97,156.0,24.0
66,2.55,94.03,24.71,179.0,26.0
67,2.01,96.91,22.98,176.0,22.0
68,2.31,97.24,25.83,186.0,25.0
69,2.35,95.22,25.65,181.0,27.0
70,3.33,94.71,24.2,165.0,32.0
71,2.11,95.39,20.8,148.0,22.0
72,2.49,87.8,35.99,337.0,28.0
73,3.09,93.76,22.74,179.0,33.0
74,2.6,91.67,33.97,271.0,29.0
75,2.5,93.43,32.19,247.0,30.0
76,2.36,94.11,26.39,192.0,27.0
77,2.18,98.19,17.46,111.0,21.0
78,2.94,90.33,37.61,343.0,34.0
79,2.41,93.8,30.26,242.0,25.0
80,2.42,92.84,28.5,214.0,27.0
81,2.57,93.26,27.09,219.0,28.0
82,2.71,94.69,27.27,199.0,29.0
83,2.09,96.49,26.99,190.0,25.0
84,2.44,96.78,16.93,114.0,26.0
85,3.31,92.66,35.94,314.0,35.0
86,2.2,94.5,29.05,216.0,25.0
87,2.03,95.13,22.72,154.0,25.0
88,2.43,93.13,20.65,162.0,30.0
89,1.99,93.4,30.69,246.0,20.0
90,2.58,95.18,31.29,247.0,29.0
91,2.68,94.56,33.65,275.0,29.0
92,2.44,94.27,27.14,214.0,27.0
93,2.87,93.54,30.58,235.0,33.0
94,2.63,97.63,16.97,112.0,25.0
95,3.02,95.22,26.0,199.0,30.0
96,3.34,83.58,53.68,612.0,38.0
97,2.31,92.8,26.87,218.0,25.0
98,2.31,95.78,23.95,162.0,26.0
99,2.74,96.17,35.19,276.0,31.0
