,Time,TPR,FDR,SHD,Layer
0,6.24,96.3,30.46,222.0,58.0
1,7.34,94.85,22.74,166.0,69.0
2,6.25,95.16,28.7,223.0,61.0
3,6.3,90.34,33.66,290.0,62.0
4,5.79,94.56,20.42,153.0,54.0
5,6.51,95.19,29.99,237.0,62.0
6,6.52,99.21,17.7,112.0,61.0
7,6.52,95.57,22.76,160.0,62.0
8,5.98,96.27,19.69,132.0,57.0
9,7.3,93.69,28.78,229.0,69.0
10,6.44,95.51,25.95,185.0,61.0
11,7.05,97.16,24.3,179.0,66.0
12,6.07,95.44,24.73,181.0,58.0
13,7.3,93.54,34.33,298.0,67.0
14,6.05,94.32,27.34,203.0,60.0
15,6.8,91.55,34.9,279.0,63.0
16,6.94,95.7,18.65,122.0,64.0
17,6.89,96.46,20.84,146.0,63.0
18,5.97,98.98,14.34,86.0,58.0
19,6.62,97.29,20.94,146.0,62.0
20,7.54,98.53,17.57,107.0,64.0
21,7.16,90.14,34.84,321.0,66.0
22,7.41,97.51,26.62,198.0,69.0
23,6.0,94.07,23.84,184.0,61.0
24,7.25,91.34,35.59,314.0,66.0
25,7.36,93.99,28.51,216.0,70.0
26,7.31,97.4,17.04,113.0,68.0
27,6.69,97.12,21.58,153.0,62.0
28,6.97,98.75,26.51,177.0,62.0
29,6.09,96.99,16.41,109.0,61.0
30,6.88,92.65,25.97,204.0,63.0
31,5.48,97.95,27.02,187.0,53.0
32,5.54,99.18,19.1,117.0,53.0
33,6.18,96.27,28.05,208.0,59.0
34,7.05,95.96,21.36,147.0,68.0
35,7.13,95.98,22.02,155.0,68.0
36,6.52,97.62,19.44,130.0,60.0
37,6.3,95.71,26.93,201.0,57.0
38,8.12,89.38,30.85,249.0,76.0
39,6.33,97.51,18.97,122.0,61.0
40,7.13,97.45,21.14,145.0,66.0
41,7.72,93.72,31.81,242.0,71.0
42,6.72,95.7,30.71,227.0,65.0
43,6.75,97.85,22.62,143.0,65.0
44,6.71,98.38,18.04,114.0,63.0
45,6.15,96.73,24.59,179.0,61.0
46,5.52,97.67,21.43,136.0,54.0
47,5.82,97.47,19.51,123.0,54.0
48,7.25,95.34,25.61,192.0,66.0
49,6.77,97.69,25.56,171.0,58.0
50,5.94,93.95,21.55,157.0,57.0
51,5.4,96.62,22.54,148.0,53.0
52,6.34,97.4,21.96,150.0,59.0
53,7.35,97.08,25.8,176.0,64.0
54,6.67,94.71,31.62,268.0,63.0
55,6.54,97.83,23.81,166.0,63.0
56,5.07,89.55,35.4,317.0,51.0
57,6.48,97.02,17.54,111.0,59.0
58,6.59,96.33,20.77,141.0,63.0
59,5.88,98.15,16.61,104.0,56.0
60,6.63,93.51,25.22,204.0,61.0
61,6.33,94.67,29.79,220.0,61.0
62,7.04,96.34,25.71,180.0,64.0
63,6.71,95.85,23.15,173.0,63.0
64,6.73,97.79,20.55,137.0,60.0
65,6.48,99.17,22.83,146.0,63.0
66,5.82,95.06,20.62,144.0,57.0
67,6.11,96.73,18.65,140.0,60.0
68,5.99,98.23,24.62,171.0,56.0
69,6.44,94.8,26.45,189.0,63.0
70,6.85,95.98,20.49,134.0,64.0
71,6.72,96.39,19.7,136.0,62.0
72,6.85,87.43,37.09,351.0,66.0
73,7.52,93.95,22.83,179.0,70.0
74,6.08,91.67,30.08,233.0,59.0
75,5.83,93.84,31.07,235.0,59.0
76,6.78,95.53,22.7,157.0,66.0
77,6.02,97.78,21.14,140.0,53.0
78,6.39,94.05,35.21,307.0,65.0
79,6.34,93.8,24.49,189.0,62.0
80,6.3,94.07,28.01,207.0,61.0
81,5.7,94.19,25.15,199.0,56.0
82,6.74,96.53,28.44,205.0,64.0
83,6.82,96.49,25.71,178.0,66.0
84,7.08,96.58,17.1,116.0,69.0
85,7.08,94.54,35.06,298.0,67.0
86,5.9,94.3,30.79,233.0,58.0
87,5.44,95.13,20.53,138.0,56.0
88,6.69,94.47,20.42,155.0,67.0
89,6.29,94.37,30.07,236.0,59.0
90,6.72,93.45,31.59,256.0,67.0
91,7.0,96.89,30.11,231.0,65.0
92,6.73,96.95,25.07,186.0,63.0
93,6.73,93.33,29.36,223.0,66.0
94,7.07,98.81,12.13,75.0,67.0
95,6.55,95.41,23.93,180.0,64.0
96,7.55,84.32,53.03,601.0,75.0
97,5.76,92.61,29.03,238.0,55.0
98,5.4,96.2,22.58,149.0,56.0
99,7.11,96.77,31.43,233.0,68.0
