,Time,TPR,FDR,SHD,Layer
0,2.94,96.71,26.91,189.0,29.0
1,3.32,94.46,22.69,167.0,35.0
2,3.08,95.74,28.16,216.0,32.0
3,3.27,90.34,33.01,283.0,34.0
4,3.06,93.59,21.75,167.0,30.0
5,3.93,94.04,34.45,286.0,42.0
6,3.85,98.62,19.77,129.0,38.0
7,3.45,96.38,21.22,147.0,36.0
8,2.7,96.48,19.79,132.0,31.0
9,3.89,88.15,31.19,270.0,41.0
10,3.96,95.71,23.86,167.0,40.0
11,3.99,96.6,21.87,160.0,38.0
12,3.08,95.63,25.39,186.0,34.0
13,4.08,93.91,31.49,267.0,43.0
14,3.71,94.12,27.5,205.0,40.0
15,4.17,95.46,33.86,259.0,39.0
16,3.75,96.13,20.46,133.0,37.0
17,3.73,95.87,21.96,157.0,36.0
18,2.95,99.59,13.35,77.0,31.0
19,3.36,100.0,18.1,114.0,32.0
20,4.03,96.64,17.41,112.0,40.0
21,4.59,90.5,35.01,323.0,44.0
22,4.36,95.79,30.03,235.0,44.0
23,3.74,96.56,18.55,133.0,38.0
24,4.31,91.9,36.13,319.0,44.0
25,3.94,93.39,27.86,212.0,42.0
26,3.17,96.0,19.87,139.0,33.0
27,3.41,97.5,23.76,170.0,33.0
28,4.58,97.71,27.4,188.0,39.0
29,3.58,96.39,17.78,121.0,36.0
30,3.03,92.65,28.61,228.0,34.0
31,2.86,97.34,24.12,164.0,31.0
32,3.41,98.36,21.09,135.0,35.0
33,3.3,94.7,27.52,208.0,35.0
34,3.78,95.35,19.04,132.0,40.0
35,3.59,97.19,23.54,163.0,35.0
36,3.34,97.03,20.97,144.0,33.0
37,2.84,95.32,25.34,188.0,29.0
38,4.71,88.58,31.9,262.0,48.0
39,2.99,97.72,20.03,129.0,33.0
40,3.8,98.23,19.48,130.0,37.0
41,4.22,94.94,29.58,220.0,43.0
42,3.85,95.7,30.81,228.0,40.0
43,3.65,97.63,20.91,131.0,36.0
44,3.81,98.18,16.67,105.0,34.0
45,3.16,96.73,24.02,176.0,34.0
46,2.91,98.1,21.75,136.0,33.0
47,3.23,97.05,19.44,125.0,31.0
48,3.57,97.28,24.55,177.0,35.0
49,3.56,97.27,23.56,156.0,34.0
50,3.25,92.54,22.86,171.0,34.0
51,3.17,95.77,23.61,159.0,33.0
52,4.25,96.8,24.49,173.0,45.0
53,3.19,96.25,25.24,174.0,33.0
54,4.01,94.71,31.17,263.0,40.0
55,3.38,98.42,20.29,135.0,34.0
56,2.91,90.3,34.77,309.0,32.0
57,3.41,97.02,20.97,133.0,34.0
58,3.46,95.93,20.57,141.0,37.0
59,3.58,97.53,15.51,99.0,34.0
60,3.73,92.95,27.29,225.0,38.0
61,3.87,94.26,31.45,237.0,39.0
62,3.59,96.34,26.05,184.0,35.0
63,3.34,96.23,25.33,191.0,34.0
64,3.64,95.38,20.7,145.0,34.0
65,3.47,98.76,19.66,123.0,36.0
66,3.57,95.27,21.79,152.0,36.0
67,2.69,96.73,18.53,139.0,29.0
68,3.3,98.03,21.57,147.0,35.0
69,3.42,95.01,26.65,190.0,35.0
70,5.65,96.41,18.57,120.0,44.0
71,3.37,95.59,20.63,146.0,36.0
72,3.75,88.52,34.59,318.0,40.0
73,4.65,93.01,24.89,200.0,46.0
74,3.56,92.28,31.52,245.0,36.0
75,3.25,93.43,30.11,227.0,36.0
76,3.31,95.12,23.78,169.0,35.0
77,3.12,97.78,19.03,125.0,30.0
78,4.0,91.08,37.42,339.0,43.0
79,3.56,94.19,29.36,232.0,34.0
80,3.65,94.48,25.84,187.0,38.0
81,3.76,93.07,25.49,206.0,39.0
82,3.84,96.12,27.65,199.0,41.0
83,2.89,97.94,24.84,167.0,29.0
84,3.66,95.77,20.0,140.0,40.0
85,4.49,93.6,35.54,307.0,45.0
86,3.66,94.7,28.68,212.0,39.0
87,3.22,94.28,29.59,211.0,37.0
88,3.43,94.66,19.22,145.0,40.0
89,3.45,94.95,30.34,238.0,36.0
90,3.66,93.26,30.56,246.0,40.0
91,3.87,96.5,29.7,228.0,39.0
92,3.81,95.04,26.44,205.0,39.0
93,3.75,92.73,30.77,238.0,41.0
94,3.55,99.01,13.77,85.0,37.0
95,3.88,94.84,26.74,207.0,37.0
96,4.64,79.89,52.93,595.0,49.0
97,3.28,92.99,29.45,241.0,32.0
98,3.26,95.36,23.78,160.0,34.0
99,4.01,96.57,32.54,245.0,42.0
