,Time,TPR,FDR,SHD,Layer
0,1.26,87.86,38.12,320.0,13.0
1,1.21,86.53,33.59,283.0,15.0
2,1.34,87.23,41.96,390.0,13.0
3,1.18,84.85,45.23,448.0,17.0
4,1.2,90.87,30.67,251.0,14.0
5,1.35,88.85,39.21,356.0,16.0
6,1.07,92.89,34.36,282.0,11.0
7,1.11,88.13,34.72,287.0,12.0
8,0.91,89.44,35.33,285.0,13.0
9,1.52,84.32,38.49,355.0,18.0
10,1.26,87.35,37.61,318.0,15.0
11,1.17,90.74,32.68,280.0,14.0
12,1.1,89.68,35.89,305.0,15.0
13,1.33,86.72,43.17,426.0,14.0
14,1.21,88.64,39.72,344.0,16.0
15,1.48,85.15,44.26,395.0,17.0
16,1.2,87.96,30.91,237.0,12.0
17,1.12,89.96,37.31,321.0,14.0
18,1.01,92.02,26.71,201.0,11.0
19,1.57,91.47,37.07,318.0,17.0
20,1.09,90.13,29.79,226.0,11.0
21,1.65,81.72,44.32,459.0,20.0
22,1.51,90.44,40.5,369.0,17.0
23,1.16,90.25,35.87,312.0,14.0
24,1.32,85.12,39.57,373.0,16.0
25,1.15,86.77,38.14,331.0,16.0
26,1.22,89.0,35.23,295.0,12.0
27,1.23,89.81,35.32,305.0,13.0
28,1.22,90.62,37.41,302.0,12.0
29,1.23,88.98,32.93,271.0,12.0
30,1.15,85.3,36.91,328.0,15.0
31,1.13,90.78,31.32,245.0,13.0
32,1.1,90.97,31.95,252.0,11.0
33,1.0,88.02,37.95,334.0,11.0
34,1.21,89.09,34.67,285.0,17.0
35,1.23,87.55,36.54,311.0,14.0
36,1.22,93.07,27.69,213.0,13.0
37,1.17,89.86,34.42,293.0,13.0
38,1.57,80.96,41.95,382.0,19.0
39,1.12,90.46,32.92,255.0,13.0
40,1.34,91.55,33.71,277.0,14.0
41,1.32,90.69,35.91,296.0,13.0
42,1.44,88.11,42.13,367.0,15.0
43,1.13,91.4,32.86,247.0,11.0
44,1.08,89.27,36.27,303.0,12.0
45,1.24,89.81,36.72,324.0,15.0
46,1.2,83.93,37.08,308.0,16.0
47,1.14,89.66,38.76,314.0,12.0
48,1.41,87.57,40.74,370.0,15.0
49,1.21,89.52,38.38,316.0,13.0
50,0.98,86.9,35.77,304.0,12.0
51,1.0,88.16,37.01,299.0,12.0
52,1.34,93.2,32.66,256.0,13.0
53,1.3,86.88,38.13,317.0,14.0
54,1.35,91.06,40.45,388.0,15.0
55,1.19,87.77,37.94,332.0,14.0
56,1.23,83.77,43.88,434.0,16.0
57,1.14,87.66,37.67,307.0,14.0
58,1.2,89.0,31.83,257.0,14.0
59,1.15,88.07,33.95,270.0,12.0
60,1.26,91.47,31.15,267.0,14.0
61,1.37,87.7,35.54,294.0,14.0
62,1.14,88.41,37.68,318.0,16.0
63,1.35,89.43,35.6,314.0,15.0
64,1.48,90.16,37.9,317.0,16.0
65,1.22,91.53,33.28,262.0,13.0
66,1.35,86.63,39.77,342.0,16.0
67,1.0,91.64,30.39,265.0,11.0
68,1.38,90.94,35.74,301.0,16.0
69,1.5,88.57,37.54,309.0,18.0
70,1.3,86.68,38.53,313.0,14.0
71,1.14,89.98,32.48,263.0,13.0
72,1.6,83.79,44.78,455.0,19.0
73,1.52,86.2,38.29,351.0,17.0
74,1.37,85.77,42.9,385.0,17.0
75,1.09,88.5,41.68,361.0,13.0
76,1.13,85.37,38.33,328.0,13.0
77,1.19,90.12,33.08,269.0,13.0
78,1.61,87.36,44.31,439.0,18.0
79,1.08,88.95,38.06,338.0,13.0
80,1.18,82.41,41.17,363.0,16.0
81,1.13,88.76,31.6,278.0,14.0
82,1.3,88.37,40.77,352.0,16.0
83,0.95,90.52,35.82,291.0,11.0
84,1.32,87.93,32.67,270.0,16.0
85,1.64,85.12,44.4,436.0,19.0
86,1.28,91.85,33.87,270.0,15.0
87,1.22,86.86,36.34,293.0,16.0
88,1.05,88.36,28.22,242.0,14.0
89,1.22,88.35,38.68,345.0,14.0
90,1.41,89.02,40.85,375.0,15.0
91,1.4,86.6,43.11,404.0,16.0
92,1.29,88.55,36.09,320.0,18.0
93,1.31,83.64,40.26,356.0,16.0
94,1.17,93.08,27.76,214.0,12.0
95,1.5,86.62,40.71,376.0,18.0
96,2.04,81.37,55.68,654.0,25.0
97,1.32,86.74,40.75,384.0,16.0
98,1.16,86.08,41.29,350.0,15.0
99,1.15,91.13,40.76,353.0,14.0
