,Time,TPR,FDR,SHD
0,88.24,100.0,21.74,135.0
1,88.43,100.0,12.48,72.0
2,89.1,100.0,20.09,130.0
3,89.24,99.05,32.34,254.0
4,88.45,99.81,19.44,125.0
5,89.13,100.0,23.42,159.0
6,87.6,100.0,8.33,46.0
7,86.85,100.0,16.61,99.0
8,86.03,99.59,18.75,113.0
9,86.43,99.24,28.51,211.0
10,85.61,100.0,17.23,102.0
11,86.07,100.0,20.33,135.0
12,85.4,100.0,24.78,166.0
13,86.83,100.0,19.47,131.0
14,86.76,99.8,28.28,195.0
15,85.98,99.59,31.39,223.0
16,85.82,99.78,13.43,73.0
17,86.54,100.0,16.31,99.0
18,86.13,100.0,5.96,31.0
19,86.41,99.61,13.61,83.0
20,86.64,100.0,7.03,36.0
21,87.98,100.0,29.9,238.0
22,86.41,100.0,22.97,156.0
23,85.98,99.81,19.94,131.0
24,86.62,99.62,29.09,219.0
25,85.74,100.0,20.29,127.0
26,85.88,100.0,11.97,68.0
27,86.16,100.0,13.48,81.0
28,86.02,100.0,14.29,80.0
29,86.08,99.4,16.64,102.0
30,86.22,99.42,23.51,161.0
31,85.42,100.0,18.12,108.0
32,90.07,100.0,8.8,47.0
33,86.49,100.0,20.09,128.0
34,85.83,100.0,13.16,75.0
35,91.08,100.0,17.82,108.0
36,94.65,100.0,11.71,67.0
37,95.08,100.0,20.34,131.0
38,95.73,99.6,24.7,165.0
39,89.01,100.0,17.18,100.0
40,87.8,100.0,17.1,105.0
41,85.94,100.0,19.94,123.0
42,86.28,100.0,21.67,135.0
43,86.74,100.0,21.19,125.0
44,85.86,100.0,9.85,54.0
45,86.24,99.81,19.66,127.0
46,87.13,100.0,13.53,74.0
47,86.46,99.79,11.75,63.0
48,87.13,100.0,21.85,144.0
49,86.75,100.0,18.04,105.0
50,86.79,100.0,12.06,68.0
51,86.44,99.37,22.57,139.0
52,87.03,100.0,14.24,83.0
53,86.05,99.38,28.7,195.0
54,86.82,100.0,21.49,150.0
55,86.88,99.61,16.25,100.0
56,86.73,99.25,31.09,244.0
57,86.2,100.0,13.12,71.0
58,86.26,100.0,15.78,92.0
59,86.02,100.0,16.35,95.0
60,86.78,100.0,18.46,122.0
61,87.72,100.0,27.49,185.0
62,86.51,100.0,21.28,133.0
63,86.43,99.81,16.03,101.0
64,86.02,100.0,15.31,90.0
65,86.77,100.0,15.09,86.0
66,86.41,100.0,14.44,82.0
67,98.54,100.0,17.79,119.0
68,91.94,100.0,14.04,83.0
69,86.7,99.79,27.05,179.0
70,86.19,100.0,16.13,91.0
71,86.18,100.0,18.2,111.0
72,87.41,100.0,30.59,242.0
73,82.92,100.0,16.82,107.0
74,87.45,99.59,29.8,209.0
75,88.44,100.0,35.84,272.0
76,86.35,100.0,10.71,59.0
77,85.4,100.0,14.19,82.0
78,87.05,100.0,29.49,225.0
79,85.77,100.0,17.44,109.0
80,85.73,100.0,18.5,111.0
81,85.99,100.0,18.35,120.0
82,87.03,99.8,25.0,164.0
83,86.27,100.0,17.94,106.0
84,85.69,99.8,18.42,113.0
85,86.2,100.0,32.36,254.0
86,86.31,99.8,16.81,100.0
87,85.69,100.0,28.7,190.0
88,85.89,100.0,18.51,119.0
89,87.5,99.81,30.35,225.0
90,86.87,100.0,31.08,234.0
91,86.61,100.0,23.48,158.0
92,86.15,100.0,27.72,201.0
93,86.17,99.39,23.96,158.0
94,85.34,100.0,7.33,40.0
95,86.59,99.81,17.92,114.0
96,88.91,98.71,51.85,583.0
97,87.54,100.0,26.87,194.0
98,86.56,100.0,15.36,86.0
99,87.17,100.0,24.16,158.0
