,Time,TPR,FDR,SHD,Layer
0,6.08,100.0,17.49,103.0,21.0
1,6.76,100.0,13.82,81.0,23.0
2,6.07,99.81,21.1,139.0,23.0
3,7.46,99.24,32.82,258.0,28.0
4,5.69,100.0,17.86,112.0,21.0
5,6.29,99.42,26.04,185.0,26.0
6,6.86,100.0,9.64,54.0,25.0
7,6.19,100.0,16.33,97.0,25.0
8,6.51,99.59,21.79,136.0,25.0
9,8.66,98.28,34.36,275.0,31.0
10,5.64,100.0,16.38,96.0,24.0
11,7.11,100.0,18.49,120.0,29.0
12,6.98,99.6,23.82,159.0,26.0
13,6.97,100.0,18.5,123.0,26.0
14,7.54,99.8,28.07,193.0,30.0
15,6.44,99.79,27.65,186.0,26.0
16,6.57,99.57,14.1,78.0,25.0
17,6.69,99.8,16.2,99.0,27.0
18,5.89,99.59,6.7,37.0,21.0
19,6.11,100.0,10.57,61.0,26.0
20,7.93,100.0,5.56,28.0,30.0
21,5.64,100.0,25.9,195.0,23.0
22,7.41,100.0,23.98,165.0,26.0
23,6.98,99.81,20.06,132.0,26.0
24,6.69,99.25,27.41,202.0,27.0
25,6.73,100.0,18.86,116.0,28.0
26,5.82,100.0,12.59,72.0,24.0
27,6.0,99.81,15.47,96.0,22.0
28,7.03,100.0,12.73,70.0,27.0
29,6.42,99.4,16.64,102.0,25.0
30,6.12,99.42,23.17,158.0,24.0
31,6.02,99.39,19.17,118.0,24.0
32,6.11,100.0,11.93,66.0,22.0
33,8.11,99.8,21.0,135.0,31.0
34,5.63,99.8,15.7,93.0,21.0
35,7.35,100.0,15.16,89.0,27.0
36,6.09,99.8,14.29,85.0,24.0
37,6.98,99.81,19.24,123.0,26.0
38,8.34,99.4,24.39,163.0,30.0
39,6.44,99.38,21.09,131.0,25.0
40,5.51,99.8,12.41,73.0,22.0
41,5.17,100.0,17.39,104.0,21.0
42,7.59,100.0,15.72,91.0,28.0
43,6.3,100.0,15.61,86.0,22.0
44,5.9,99.8,10.04,56.0,23.0
45,5.74,99.81,14.92,92.0,23.0
46,6.44,100.0,14.47,80.0,25.0
47,6.87,99.37,14.05,80.0,27.0
48,7.96,100.0,18.51,117.0,29.0
49,6.29,100.0,19.02,112.0,23.0
50,6.0,99.6,19.28,120.0,22.0
51,5.37,100.0,19.42,114.0,22.0
52,6.31,100.0,14.38,84.0,23.0
53,5.37,99.38,25.59,167.0,22.0
54,6.76,100.0,22.05,155.0,25.0
55,6.83,99.8,15.24,92.0,24.0
56,6.79,99.07,28.53,217.0,25.0
57,7.21,99.79,14.57,80.0,28.0
58,6.98,100.0,14.16,81.0,26.0
59,7.17,100.0,14.13,80.0,24.0
60,7.51,99.44,18.66,125.0,29.0
61,7.7,100.0,25.38,166.0,30.0
62,5.88,100.0,18.41,111.0,25.0
63,8.38,99.81,11.69,71.0,31.0
64,9.2,100.0,16.3,97.0,31.0
65,6.37,100.0,12.64,70.0,23.0
66,7.51,100.0,14.44,82.0,27.0
67,6.15,100.0,16.16,106.0,22.0
68,7.42,99.8,18.62,117.0,29.0
69,6.2,99.38,24.25,156.0,24.0
70,6.07,99.58,15.29,87.0,23.0
71,6.07,100.0,16.56,99.0,24.0
72,7.78,99.82,30.63,243.0,29.0
73,6.55,99.81,16.98,109.0,24.0
74,6.77,100.0,26.79,180.0,27.0
75,5.55,100.0,32.64,236.0,22.0
76,6.44,99.59,12.34,71.0,24.0
77,6.28,100.0,14.48,84.0,24.0
78,7.61,99.81,27.63,206.0,31.0
79,6.68,99.81,17.47,110.0,28.0
80,6.6,100.0,19.7,120.0,24.0
81,6.06,100.0,17.97,117.0,22.0
82,6.91,99.8,24.88,162.0,26.0
83,5.76,99.79,15.53,90.0,24.0
84,5.74,99.4,19.02,118.0,24.0
85,7.33,99.81,32.4,255.0,31.0
86,8.88,99.59,17.26,104.0,31.0
87,6.77,100.0,25.55,162.0,26.0
88,6.14,100.0,16.96,107.0,25.0
89,5.75,99.81,29.69,218.0,23.0
90,6.7,100.0,28.02,202.0,25.0
91,5.65,99.81,28.01,201.0,23.0
92,7.65,99.62,29.65,222.0,31.0
93,7.46,99.8,27.14,185.0,28.0
94,5.27,99.8,6.65,37.0,21.0
95,7.24,100.0,19.54,127.0,25.0
96,7.4,98.52,50.74,558.0,30.0
97,7.21,99.62,23.88,167.0,27.0
98,7.71,99.58,16.9,98.0,29.0
99,5.44,100.0,21.27,134.0,25.0
