,Time,TPR,FDR,SHD,Layer
0,2.95,90.95,47.44,437.0,12.0
1,3.35,91.09,37.75,320.0,12.0
2,2.86,90.14,41.6,382.0,11.0
3,3.23,91.86,47.62,480.0,14.0
4,2.33,93.01,34.92,290.0,10.0
5,2.73,90.38,46.65,460.0,11.0
6,2.84,91.7,37.04,313.0,10.0
7,2.52,91.75,37.02,306.0,10.0
8,2.19,93.58,32.94,248.0,10.0
9,3.0,90.63,46.5,457.0,13.0
10,2.35,92.04,40.89,349.0,11.0
11,2.85,93.57,38.12,338.0,11.0
12,2.71,92.66,41.41,365.0,11.0
13,2.69,91.7,41.18,388.0,11.0
14,2.99,91.68,43.85,393.0,11.0
15,2.6,90.93,43.89,385.0,11.0
16,3.28,92.04,35.54,268.0,12.0
17,2.73,90.94,38.56,334.0,11.0
18,2.53,93.87,31.18,234.0,10.0
19,3.07,90.7,43.61,408.0,13.0
20,2.42,90.97,30.39,230.0,9.0
21,3.18,91.22,52.56,609.0,13.0
22,2.86,91.78,44.76,426.0,12.0
23,2.89,92.54,40.47,363.0,11.0
24,3.34,93.03,41.61,388.0,13.0
25,2.65,89.58,40.72,357.0,11.0
26,2.68,91.0,34.44,281.0,11.0
27,2.98,91.15,40.15,357.0,11.0
28,3.0,91.04,43.54,372.0,12.0
29,2.72,91.38,33.43,268.0,10.0
30,2.81,88.59,48.77,489.0,12.0
31,2.51,90.78,38.21,316.0,9.0
32,2.92,92.2,35.21,280.0,11.0
33,2.77,92.34,38.72,335.0,11.0
34,2.28,91.11,37.1,310.0,9.0
35,2.91,91.37,41.29,357.0,11.0
36,3.3,93.27,30.74,241.0,12.0
37,2.83,91.42,43.49,403.0,10.0
38,3.06,89.38,43.33,386.0,12.0
39,2.74,90.46,38.94,322.0,11.0
40,2.74,92.53,34.03,278.0,11.0
41,2.9,92.31,39.76,335.0,11.0
42,2.93,89.75,43.48,383.0,12.0
43,2.94,90.97,42.13,345.0,11.0
44,2.73,90.08,40.43,346.0,10.0
45,2.72,92.12,34.92,296.0,11.0
46,2.6,92.18,37.45,294.0,10.0
47,3.14,90.72,38.4,306.0,12.0
48,2.5,89.32,44.71,427.0,11.0
49,3.0,92.03,40.43,332.0,12.0
50,2.47,91.73,38.93,326.0,10.0
51,2.36,89.64,43.99,380.0,10.0
52,2.81,92.2,37.53,313.0,10.0
53,2.94,91.67,42.18,356.0,12.0
54,3.08,91.79,45.97,471.0,11.0
55,2.82,89.35,40.16,355.0,11.0
56,2.69,90.49,50.71,547.0,10.0
57,2.41,91.49,32.28,244.0,11.0
58,2.47,91.04,39.18,328.0,10.0
59,2.7,91.15,33.68,266.0,11.0
60,2.76,93.14,40.8,379.0,11.0
61,3.12,91.39,42.0,360.0,13.0
62,2.7,92.07,35.47,284.0,11.0
63,2.97,91.51,39.53,359.0,13.0
64,3.16,90.36,39.92,342.0,12.0
65,3.17,92.77,37.81,302.0,12.0
66,3.23,91.15,40.3,340.0,13.0
67,2.75,91.27,38.33,359.0,10.0
68,3.02,92.13,39.92,349.0,12.0
69,2.79,91.27,45.94,410.0,12.0
70,2.79,89.64,41.27,339.0,11.0
71,2.86,89.78,41.82,371.0,11.0
72,3.45,90.53,47.18,488.0,14.0
73,3.42,91.49,43.79,414.0,13.0
74,2.93,90.24,45.59,416.0,12.0
75,2.61,92.4,46.75,430.0,10.0
76,2.31,90.24,39.09,329.0,10.0
77,2.49,90.93,37.19,310.0,10.0
78,3.31,89.59,47.72,491.0,15.0
79,2.33,91.28,46.17,447.0,9.0
80,2.53,92.02,40.16,337.0,10.0
81,2.85,92.88,37.92,339.0,11.0
82,2.87,91.22,40.87,350.0,12.0
83,2.2,92.16,33.08,258.0,10.0
84,3.02,91.55,37.76,312.0,12.0
85,3.43,93.79,46.68,467.0,13.0
86,2.77,92.87,32.74,255.0,11.0
87,2.6,90.04,50.0,470.0,11.0
88,2.51,90.84,39.29,353.0,9.0
89,2.89,91.84,44.68,419.0,11.0
90,2.8,92.49,44.95,429.0,11.0
91,2.52,91.84,43.69,409.0,11.0
92,2.92,93.32,46.09,450.0,12.0
93,2.81,88.89,49.71,483.0,12.0
94,2.41,91.9,31.72,251.0,10.0
95,2.55,91.2,42.74,397.0,11.0
96,3.52,90.96,61.27,825.0,14.0
97,3.11,92.23,41.25,379.0,12.0
98,2.69,91.35,39.36,319.0,11.0
99,2.69,90.73,45.65,419.0,11.0
