,Time,TPR,FDR,SHD,Layer
0,4.61,100.0,16.92,99.0,17.0
1,5.37,100.0,13.08,76.0,19.0
2,4.99,99.81,21.1,139.0,18.0
3,6.39,99.43,32.78,258.0,25.0
4,4.83,99.81,18.93,121.0,18.0
5,5.12,100.0,23.87,163.0,20.0
6,4.91,99.8,10.62,61.0,18.0
7,4.94,99.8,17.61,107.0,18.0
8,4.02,99.79,21.37,132.0,17.0
9,7.09,99.62,31.81,244.0,24.0
10,5.51,99.8,17.12,102.0,23.0
11,4.92,99.81,19.88,132.0,21.0
12,4.8,99.6,24.62,166.0,20.0
13,5.85,99.82,19.61,133.0,22.0
14,6.07,99.59,28.22,195.0,24.0
15,6.14,99.79,27.54,185.0,24.0
16,6.05,99.14,15.57,89.0,23.0
17,5.17,99.8,12.59,74.0,21.0
18,3.47,99.8,6.15,33.0,14.0
19,6.47,99.81,15.02,92.0,24.0
20,4.82,100.0,5.56,28.0,19.0
21,5.44,99.1,27.9,219.0,22.0
22,6.82,100.0,22.75,154.0,23.0
23,5.26,100.0,18.66,120.0,19.0
24,4.72,99.62,25.6,184.0,18.0
25,5.51,99.8,20.45,129.0,23.0
26,4.92,100.0,13.04,75.0,19.0
27,5.32,99.42,17.01,109.0,20.0
28,5.47,100.0,13.2,73.0,22.0
29,5.61,99.4,16.78,103.0,23.0
30,4.49,99.81,21.94,146.0,18.0
31,5.12,99.18,20.0,125.0,19.0
32,5.31,99.59,12.77,73.0,18.0
33,5.64,99.41,21.67,143.0,22.0
34,4.42,100.0,13.61,78.0,17.0
35,6.12,99.8,16.33,98.0,23.0
36,4.82,99.8,13.4,79.0,18.0
37,5.59,99.81,17.42,109.0,20.0
38,6.51,99.6,22.59,147.0,25.0
39,5.17,100.0,19.67,118.0,21.0
40,5.05,99.8,13.46,80.0,19.0
41,4.33,99.8,16.72,100.0,18.0
42,5.76,100.0,16.44,96.0,23.0
43,5.09,100.0,13.25,71.0,19.0
44,4.43,99.8,11.17,63.0,17.0
45,5.56,99.62,15.77,99.0,22.0
46,5.43,100.0,10.42,55.0,19.0
47,6.03,99.16,15.47,90.0,23.0
48,4.99,100.0,20.28,131.0,19.0
49,4.76,100.0,16.46,94.0,19.0
50,4.53,100.0,14.63,85.0,19.0
51,4.14,100.0,19.69,116.0,17.0
52,5.34,99.2,19.61,125.0,19.0
53,4.52,99.17,24.92,162.0,19.0
54,5.78,99.82,24.66,180.0,20.0
55,5.35,99.8,16.5,101.0,20.0
56,5.37,99.07,29.11,223.0,19.0
57,4.78,99.36,15.55,89.0,19.0
58,6.01,99.59,16.41,98.0,23.0
59,6.57,100.0,14.74,84.0,22.0
60,6.44,100.0,16.17,104.0,24.0
61,6.43,99.59,26.14,174.0,27.0
62,4.57,99.8,17.89,108.0,18.0
63,7.45,99.81,12.42,76.0,27.0
64,5.87,99.4,17.36,107.0,23.0
65,5.39,100.0,12.32,68.0,20.0
66,5.5,100.0,13.68,77.0,22.0
67,4.51,100.0,15.9,104.0,17.0
68,5.55,100.0,17.53,108.0,23.0
69,5.94,99.38,21.51,134.0,24.0
70,5.29,99.58,14.36,81.0,18.0
71,4.67,100.0,16.69,100.0,20.0
72,5.89,99.64,32.3,263.0,24.0
73,5.56,99.81,18.52,121.0,21.0
74,4.86,99.39,28.4,197.0,21.0
75,4.48,100.0,32.64,236.0,19.0
76,4.93,99.19,14.69,87.0,19.0
77,6.0,99.8,17.91,108.0,22.0
78,7.02,100.0,28.55,215.0,29.0
79,5.07,100.0,17.17,107.0,21.0
80,5.17,99.8,18.39,111.0,18.0
81,5.07,100.0,16.69,107.0,19.0
82,5.46,100.0,22.1,139.0,20.0
83,4.83,100.0,15.51,89.0,19.0
84,4.49,99.2,18.91,118.0,18.0
85,5.84,100.0,31.22,241.0,22.0
86,5.95,99.59,16.55,99.0,24.0
87,5.15,99.79,25.71,164.0,20.0
88,4.81,100.0,17.48,111.0,20.0
89,4.09,99.81,29.69,218.0,16.0
90,5.08,99.23,27.87,203.0,21.0
91,4.71,100.0,27.57,196.0,19.0
92,4.75,99.62,28.49,210.0,21.0
93,6.1,99.8,25.71,172.0,23.0
94,4.04,99.6,9.35,54.0,16.0
95,5.56,99.81,19.82,130.0,20.0
96,5.59,99.45,51.92,585.0,21.0
97,5.46,99.81,22.61,155.0,23.0
98,5.67,99.58,18.62,110.0,22.0
99,4.19,100.0,21.64,137.0,17.0
