,Time,TPR,FDR,SHD,Layer
0,4.27,99.79,21.52,134.0,16.0
1,5.42,100.0,13.08,76.0,19.0
2,4.96,99.61,22.79,154.0,18.0
3,4.45,99.24,32.12,251.0,19.0
4,4.18,99.61,19.84,129.0,17.0
5,4.18,99.62,26.94,193.0,17.0
6,4.84,100.0,8.83,49.0,18.0
7,4.18,100.0,14.9,87.0,16.0
8,3.8,99.59,19.43,118.0,16.0
9,4.9,98.28,32.63,256.0,21.0
10,4.89,99.8,17.54,105.0,21.0
11,4.63,99.81,20.0,133.0,19.0
12,4.05,99.6,24.62,166.0,18.0
13,5.34,99.82,19.49,132.0,21.0
14,5.27,99.59,28.22,195.0,21.0
15,5.65,99.59,26.37,175.0,22.0
16,4.99,99.14,16.03,92.0,19.0
17,4.83,99.61,15.67,96.0,19.0
18,3.31,99.8,5.97,32.0,13.0
19,5.05,99.81,15.16,93.0,21.0
20,4.8,99.79,6.5,34.0,19.0
21,5.14,99.64,27.42,212.0,21.0
22,5.69,99.62,23.27,160.0,20.0
23,5.33,99.62,22.59,154.0,18.0
24,4.55,99.25,25.04,180.0,18.0
25,4.59,99.6,20.61,131.0,19.0
26,4.68,99.6,13.69,81.0,18.0
27,4.77,99.42,16.88,108.0,18.0
28,4.98,99.79,13.07,73.0,20.0
29,4.87,99.4,16.92,104.0,20.0
30,4.11,99.61,25.9,182.0,17.0
31,4.75,99.18,19.87,124.0,18.0
32,3.97,99.38,14.34,84.0,15.0
33,5.43,99.8,20.75,134.0,20.0
34,3.98,100.0,14.21,82.0,16.0
35,4.87,100.0,14.43,84.0,19.0
36,4.24,99.8,12.04,70.0,16.0
37,4.17,99.03,22.56,153.0,16.0
38,6.14,99.4,23.46,155.0,24.0
39,4.94,99.17,21.51,135.0,19.0
40,4.98,100.0,13.14,77.0,18.0
41,4.06,99.19,20.58,131.0,15.0
42,4.57,99.39,16.81,101.0,18.0
43,3.75,99.78,16.09,90.0,14.0
44,4.52,99.39,11.85,69.0,17.0
45,4.98,99.23,17.97,117.0,20.0
46,4.03,99.58,11.96,66.0,16.0
47,4.76,99.79,13.21,73.0,19.0
48,4.99,100.0,20.28,131.0,19.0
49,3.98,100.0,16.9,97.0,15.0
50,3.59,99.8,15.82,94.0,14.0
51,4.31,100.0,19.69,116.0,17.0
52,4.45,98.6,22.36,149.0,17.0
53,4.29,98.96,25.31,166.0,18.0
54,5.57,100.0,22.71,161.0,20.0
55,4.07,99.61,15.83,97.0,17.0
56,3.85,98.88,26.9,201.0,15.0
57,5.08,98.51,17.91,106.0,20.0
58,5.77,99.39,20.65,130.0,22.0
59,3.87,100.0,13.37,75.0,16.0
60,4.87,100.0,16.04,103.0,19.0
61,4.49,99.59,24.18,157.0,19.0
62,4.09,98.98,21.07,135.0,16.0
63,6.23,99.25,16.24,106.0,23.0
64,4.6,99.8,17.3,105.0,18.0
65,4.95,99.79,12.66,71.0,18.0
66,4.41,99.79,15.36,89.0,18.0
67,4.1,99.82,17.69,119.0,16.0
68,5.35,99.61,20.19,130.0,21.0
69,5.49,98.96,24.68,161.0,22.0
70,5.43,98.94,18.18,108.0,18.0
71,3.9,99.8,16.58,100.0,16.0
72,5.05,99.64,30.67,244.0,20.0
73,5.53,99.81,17.88,116.0,20.0
74,4.54,99.19,28.76,201.0,19.0
75,3.8,99.59,34.01,252.0,15.0
76,3.78,99.59,11.71,67.0,16.0
77,4.25,99.6,17.53,107.0,16.0
78,5.55,99.81,31.42,247.0,24.0
79,3.79,99.03,19.53,129.0,17.0
80,4.8,99.59,18.56,113.0,17.0
81,3.65,99.63,16.61,108.0,15.0
82,5.13,100.0,22.59,143.0,19.0
83,3.1,99.79,16.98,100.0,14.0
84,4.54,99.2,18.24,114.0,17.0
85,5.29,99.81,32.66,258.0,20.0
86,5.76,99.19,20.03,126.0,22.0
87,4.66,99.79,25.71,164.0,19.0
88,4.37,99.43,17.56,114.0,18.0
89,3.92,99.61,28.75,209.0,16.0
90,5.16,98.84,28.55,211.0,21.0
91,4.64,100.0,26.32,184.0,19.0
92,4.29,99.62,28.4,209.0,18.0
93,4.93,99.6,26.64,181.0,19.0
94,4.11,99.6,9.19,53.0,16.0
95,5.04,99.62,19.22,126.0,19.0
96,5.35,99.45,52.55,600.0,20.0
97,5.06,99.43,23.13,161.0,21.0
98,5.03,99.16,16.96,100.0,20.0
99,4.08,99.19,23.6,156.0,17.0
