,Time,TPR,FDR,SHD,Layer
0,6.87,100.0,16.64,97.0,26.0
1,8.41,100.0,14.41,85.0,33.0
2,8.35,100.0,21.9,145.0,33.0
3,8.85,99.05,31.54,245.0,35.0
4,7.67,99.81,17.5,110.0,29.0
5,8.86,99.81,26.28,186.0,32.0
6,8.44,100.0,8.83,49.0,29.0
7,10.06,100.0,17.3,104.0,36.0
8,8.5,99.59,19.97,122.0,32.0
9,12.72,98.47,33.63,267.0,42.0
10,6.67,100.0,17.51,104.0,29.0
11,10.4,100.0,19.97,132.0,38.0
12,8.37,100.0,24.78,166.0,33.0
13,8.37,99.82,18.15,121.0,33.0
14,8.38,99.8,27.54,188.0,34.0
15,8.97,99.59,27.26,183.0,36.0
16,8.54,99.78,13.75,75.0,32.0
17,9.37,99.8,15.5,94.0,37.0
18,7.4,100.0,5.96,31.0,25.0
19,10.1,99.42,13.93,86.0,41.0
20,7.88,100.0,7.39,38.0,29.0
21,7.59,100.0,25.5,191.0,29.0
22,8.34,99.81,24.13,166.0,30.0
23,8.61,99.81,22.44,152.0,33.0
24,8.8,99.81,25.25,180.0,35.0
25,9.43,100.0,20.29,127.0,37.0
26,9.6,100.0,13.79,80.0,37.0
27,9.46,99.62,16.05,101.0,34.0
28,9.58,100.0,13.82,77.0,36.0
29,9.19,99.4,18.15,113.0,37.0
30,9.26,100.0,22.37,149.0,34.0
31,7.61,99.8,16.89,100.0,30.0
32,9.63,100.0,8.97,48.0,34.0
33,10.64,100.0,20.22,129.0,42.0
34,6.99,100.0,13.01,74.0,29.0
35,9.08,100.0,13.99,81.0,34.0
36,8.44,100.0,13.08,76.0,32.0
37,9.93,99.81,20.0,129.0,34.0
38,9.28,99.6,23.07,151.0,35.0
39,8.16,100.0,20.46,124.0,31.0
40,7.96,99.8,15.19,92.0,30.0
41,6.8,100.0,16.13,95.0,27.0
42,10.19,100.0,17.71,105.0,38.0
43,7.83,100.0,16.22,90.0,28.0
44,8.24,99.8,8.53,47.0,31.0
45,8.95,99.81,18.91,122.0,34.0
46,7.86,100.0,11.92,64.0,29.0
47,7.7,99.79,11.09,60.0,31.0
48,10.71,100.0,20.03,129.0,37.0
49,8.0,100.0,19.15,113.0,30.0
50,6.9,100.0,14.19,82.0,26.0
51,7.77,99.37,20.2,122.0,31.0
52,7.22,100.0,14.38,84.0,26.0
53,7.6,99.38,29.12,199.0,32.0
54,8.46,99.82,22.74,162.0,31.0
55,7.82,99.61,14.41,87.0,31.0
56,9.49,99.63,31.89,252.0,34.0
57,8.01,99.79,15.04,83.0,31.0
58,9.82,100.0,13.4,76.0,35.0
59,9.98,100.0,15.18,87.0,36.0
60,10.11,100.0,17.2,112.0,37.0
61,10.44,100.0,24.81,161.0,38.0
62,8.46,100.0,21.41,134.0,34.0
63,10.2,99.81,15.9,101.0,37.0
64,11.31,100.0,16.44,98.0,40.0
65,9.26,100.0,14.03,79.0,34.0
66,8.12,100.0,14.13,80.0,30.0
67,8.73,99.82,17.44,117.0,31.0
68,9.19,100.0,17.13,105.0,38.0
69,8.82,100.0,26.34,172.0,33.0
70,8.37,100.0,13.84,76.0,32.0
71,7.12,100.0,16.28,97.0,28.0
72,11.44,99.64,32.39,264.0,41.0
73,8.58,100.0,16.82,107.0,34.0
74,10.11,100.0,28.18,193.0,36.0
75,8.85,100.0,37.64,294.0,35.0
76,7.71,99.8,10.07,56.0,31.0
77,8.85,100.0,13.74,79.0,34.0
78,10.3,100.0,27.98,209.0,40.0
79,8.81,100.0,18.1,114.0,35.0
80,8.7,100.0,18.23,109.0,32.0
81,10.0,100.0,17.47,113.0,34.0
82,8.48,100.0,23.08,147.0,32.0
83,8.15,100.0,15.94,92.0,32.0
84,7.35,99.2,17.28,107.0,29.0
85,7.93,99.81,33.08,263.0,32.0
86,8.69,99.8,15.81,93.0,35.0
87,8.06,100.0,29.13,194.0,32.0
88,10.33,99.81,18.15,117.0,40.0
89,7.77,99.81,28.61,207.0,29.0
90,10.0,100.0,30.52,228.0,34.0
91,8.2,100.0,28.47,205.0,33.0
92,9.98,99.43,28.43,210.0,39.0
93,9.25,98.99,25.3,171.0,36.0
94,9.13,100.0,6.64,36.0,34.0
95,9.01,100.0,17.77,113.0,33.0
96,8.6,98.34,53.16,614.0,35.0
97,9.92,99.81,25.77,184.0,37.0
98,9.17,99.58,17.05,99.0,35.0
99,7.51,100.0,22.38,143.0,31.0
