,Time,TPR,FDR,SHD,Layer
0,12.49,100.0,19.13,115.0,42.0
1,13.99,100.0,12.63,73.0,51.0
2,10.64,100.0,22.37,149.0,43.0
3,13.64,99.05,32.43,255.0,51.0
4,14.11,99.81,18.41,117.0,51.0
5,14.72,100.0,22.62,152.0,50.0
6,12.71,100.0,8.66,48.0,45.0
7,13.47,100.0,17.17,103.0,51.0
8,14.8,99.59,21.02,130.0,53.0
9,16.35,98.85,29.37,221.0,55.0
10,10.39,100.0,17.37,103.0,42.0
11,14.17,100.0,19.73,130.0,49.0
12,14.51,100.0,22.7,148.0,49.0
13,14.56,100.0,18.5,123.0,53.0
14,12.71,99.8,28.28,195.0,51.0
15,13.97,100.0,30.71,215.0,54.0
16,13.01,99.78,13.75,75.0,46.0
17,12.62,100.0,16.45,100.0,52.0
18,11.85,100.0,6.68,35.0,43.0
19,18.22,99.61,14.19,87.0,64.0
20,14.41,100.0,6.67,34.0,52.0
21,13.39,99.82,28.86,227.0,50.0
22,12.61,100.0,23.43,160.0,47.0
23,13.23,99.81,19.44,127.0,48.0
24,12.91,99.62,29.09,219.0,52.0
25,12.57,100.0,21.66,138.0,49.0
26,14.91,100.0,14.24,83.0,53.0
27,12.61,100.0,13.04,78.0,49.0
28,14.06,100.0,13.51,75.0,53.0
29,14.06,99.4,17.61,109.0,52.0
30,12.5,100.0,22.6,151.0,46.0
31,11.06,99.8,17.46,104.0,41.0
32,14.64,100.0,9.81,53.0,52.0
33,15.76,100.0,19.97,127.0,55.0
34,10.9,100.0,12.7,72.0,41.0
35,14.16,100.0,14.87,87.0,52.0
36,13.4,100.0,10.14,57.0,48.0
37,14.68,99.81,20.99,137.0,51.0
38,15.16,99.6,22.83,149.0,52.0
39,13.56,99.79,20.76,127.0,48.0
40,12.24,99.8,18.06,113.0,47.0
41,10.88,99.8,20.48,128.0,39.0
42,14.95,100.0,19.34,117.0,53.0
43,11.88,100.0,16.67,93.0,41.0
44,13.02,99.8,7.16,39.0,45.0
45,11.99,99.81,17.36,110.0,48.0
46,13.54,100.0,11.42,61.0,50.0
47,12.28,99.79,12.41,67.0,46.0
48,15.11,100.0,21.61,142.0,54.0
49,14.11,100.0,16.75,96.0,50.0
50,13.31,100.0,10.95,61.0,48.0
51,10.73,99.37,20.47,123.0,43.0
52,11.74,100.0,13.49,78.0,45.0
53,12.85,99.38,27.95,188.0,52.0
54,15.58,100.0,21.15,147.0,47.0
55,12.96,99.61,17.08,106.0,49.0
56,12.57,99.63,32.06,254.0,47.0
57,12.82,100.0,13.76,75.0,49.0
58,12.7,100.0,15.64,91.0,48.0
59,15.02,100.0,14.13,80.0,51.0
60,16.26,100.0,16.69,108.0,61.0
61,15.17,100.0,25.61,168.0,56.0
62,14.31,100.0,21.53,135.0,54.0
63,14.7,99.81,14.4,90.0,54.0
64,15.61,100.0,15.59,92.0,55.0
65,12.51,100.0,13.57,76.0,45.0
66,14.13,100.0,14.74,84.0,53.0
67,13.8,100.0,17.79,119.0,48.0
68,13.96,100.0,18.06,112.0,53.0
69,12.11,100.0,27.34,181.0,46.0
70,14.47,100.0,15.38,86.0,54.0
71,12.77,100.0,16.97,102.0,51.0
72,15.92,99.64,32.22,262.0,59.0
73,12.79,100.0,16.82,107.0,52.0
74,11.63,99.59,27.94,191.0,46.0
75,11.18,100.0,32.45,234.0,42.0
76,12.35,99.8,12.79,73.0,47.0
77,11.71,100.0,14.63,85.0,46.0
78,13.16,100.0,27.3,202.0,49.0
79,12.39,100.0,18.23,115.0,49.0
80,11.66,100.0,18.5,111.0,44.0
81,13.81,100.0,18.72,123.0,49.0
82,12.27,100.0,24.27,157.0,47.0
83,15.11,100.0,16.95,99.0,55.0
84,11.37,99.6,20.42,129.0,45.0
85,13.72,99.81,32.14,252.0,53.0
86,17.72,99.8,16.81,100.0,63.0
87,11.64,100.0,29.13,194.0,46.0
88,12.95,100.0,19.14,124.0,51.0
89,10.86,99.81,29.97,221.0,44.0
90,15.47,100.0,30.8,231.0,57.0
91,12.75,99.81,26.78,189.0,47.0
92,13.98,99.81,29.61,221.0,54.0
93,13.51,99.19,24.46,163.0,52.0
94,13.17,100.0,7.33,40.0,50.0
95,13.49,99.81,18.05,115.0,50.0
96,11.87,98.15,54.84,656.0,46.0
97,13.96,100.0,24.57,172.0,52.0
98,12.77,99.79,15.84,90.0,47.0
99,11.41,100.0,23.34,151.0,45.0
